"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"WorkOrder";"";"";"";"";""
"";"WorkOrder to Classification (as classifiedAs)";"";"";"";""
"";"WorkOrder to CharacterString (as description)";"";"";"";""
"";"WorkOrder to Descriptor (as description)";"";"";"";""
"";"WorkOrder to DescriptorSet (as description)";"";"";"";""
"";"WorkOrder to LocalizedString (as description)";"";"";"";""
"";"WorkOrder to TranslatedStringSet (as description)";"";"";"";""
"";"WorkOrder to Identifier (as id)";"";"";"";""
"";"WorkOrder to IdentifierSet (as id)";"";"";"";""
"";"WorkOrder to IdentifierString (as id)";"";"";"";""
"";"WorkOrder to WorkRequest (as inResponseTo)";"";"";"";""
"";"WorkOrder to Class (as orderType)";"";"";"";""
"";"WorkOrder to ClassString (as orderType)";"";"";"";""
"";"WorkOrder to ExternalClass (as orderType)";"";"";"";""
"";"WorkOrder to ExternalOwlClass (as orderType)";"";"";"";""
"";"WorkOrder to ExternalItem (as sameAs)";"";"";"";""
"";"WorkOrder to ExternalOwlObject (as sameAs)";"";"";"";""
"";"WorkOrder to Proxy (as sameAs)";"";"";"";""
"";"WorkOrder to ProxyString (as sameAs)";"";"";"";""
"";"WorkOrder to Identifier (as versionId)";"";"";"";""
"";"WorkOrder to IdentifierSet (as versionId)";"";"";"";""
"";"WorkOrder to IdentifierString (as versionId)";"";"";"";""
"WorkOrderAssignment";"";"";"";"";""
"";"WorkOrderAssignment to Activity (as assignedTo)";"";"";"";""
"";"WorkOrderAssignment to ActivityMethod (as assignedTo)";"";"";"";""
"";"WorkOrderAssignment to WorkOrder (as assignedWorkOrder)";"";"";"";""
"";"WorkOrderAssignment to Classification (as classifiedAs)";"";"";"";""
"";"WorkOrderAssignment to CharacterString (as description)";"";"";"";""
"";"WorkOrderAssignment to Descriptor (as description)";"";"";"";""
"";"WorkOrderAssignment to DescriptorSet (as description)";"";"";"";""
"";"WorkOrderAssignment to LocalizedString (as description)";"";"";"";""
"";"WorkOrderAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"WorkOrderAssignment to Identifier (as id)";"";"";"";""
"";"WorkOrderAssignment to IdentifierSet (as id)";"";"";"";""
"";"WorkOrderAssignment to IdentifierString (as id)";"";"";"";""
"";"WorkOrderAssignment to Class (as role)";"";"";"";""
"";"WorkOrderAssignment to ClassString (as role)";"";"";"";""
"";"WorkOrderAssignment to ExternalClass (as role)";"";"";"";""
"";"WorkOrderAssignment to ExternalOwlClass (as role)";"";"";"";""
"WorkOrderRelationship";"";"";"";"";""
"";"WorkOrderRelationship to Classification (as classifiedAs)";"";"";"";""
"";"WorkOrderRelationship to CharacterString (as description)";"";"";"";""
"";"WorkOrderRelationship to Descriptor (as description)";"";"";"";""
"";"WorkOrderRelationship to DescriptorSet (as description)";"";"";"";""
"";"WorkOrderRelationship to LocalizedString (as description)";"";"";"";""
"";"WorkOrderRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"WorkOrderRelationship to Identifier (as id)";"";"";"";""
"";"WorkOrderRelationship to IdentifierSet (as id)";"";"";"";""
"";"WorkOrderRelationship to IdentifierString (as id)";"";"";"";""
"";"WorkOrderRelationship to WorkOrder (as related)";"";"";"";""
"";"WorkOrderRelationship to WorkOrder (as relating)";"";"";"";""
"";"WorkOrderRelationship to Class (as relationType)";"";"";"";""
"";"WorkOrderRelationship to ClassString (as relationType)";"";"";"";""
"";"WorkOrderRelationship to ExternalClass (as relationType)";"";"";"";""
"";"WorkOrderRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"WorkRequest";"";"";"";"";""
"";"WorkRequest to Classification (as classifiedAs)";"";"";"";""
"";"WorkRequest to CharacterString (as description)";"";"";"";""
"";"WorkRequest to Descriptor (as description)";"";"";"";""
"";"WorkRequest to DescriptorSet (as description)";"";"";"";""
"";"WorkRequest to LocalizedString (as description)";"";"";"";""
"";"WorkRequest to TranslatedStringSet (as description)";"";"";"";""
"";"WorkRequest to Identifier (as id)";"";"";"";""
"";"WorkRequest to IdentifierSet (as id)";"";"";"";""
"";"WorkRequest to IdentifierString (as id)";"";"";"";""
"";"WorkRequest to DateAndPersonOrganization (as notifiedPersons)";"";"";"";""
"";"WorkRequest to DateAndPersonOrganization (as requestor)";"";"";"";""
"";"WorkRequest to Class (as requestType)";"";"";"";""
"";"WorkRequest to ClassString (as requestType)";"";"";"";""
"";"WorkRequest to ExternalClass (as requestType)";"";"";"";""
"";"WorkRequest to ExternalOwlClass (as requestType)";"";"";"";""
"";"WorkRequest to ExternalItem (as sameAs)";"";"";"";""
"";"WorkRequest to ExternalOwlObject (as sameAs)";"";"";"";""
"";"WorkRequest to Proxy (as sameAs)";"";"";"";""
"";"WorkRequest to ProxyString (as sameAs)";"";"";"";""
"";"WorkRequest to Activity (as scope)";"";"";"";""
"";"WorkRequest to ActivityAssignment (as scope)";"";"";"";""
"";"WorkRequest to ActivityMethod (as scope)";"";"";"";""
