"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"DataEnvironment";"";"";"";"";""
"";"DataEnvironment to PropertyValue (as characterization)";"";"";"";""
"";"DataEnvironment to CharacterString (as description)";"";"";"";""
"";"DataEnvironment to Descriptor (as description)";"";"";"";""
"";"DataEnvironment to DescriptorSet (as description)";"";"";"";""
"";"DataEnvironment to LocalizedString (as description)";"";"";"";""
"";"DataEnvironment to TranslatedStringSet (as description)";"";"";"";""
"";"DataEnvironment to CharacterString (as name)";"";"";"";""
"";"DataEnvironment to Descriptor (as name)";"";"";"";""
"";"DataEnvironment to DescriptorSet (as name)";"";"";"";""
"";"DataEnvironment to LocalizedString (as name)";"";"";"";""
"";"DataEnvironment to TranslatedStringSet (as name)";"";"";"";""
"MaterialIdentification";"";"";"";"";""
"";"MaterialIdentification to Activity (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ActivityAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ActivityMethod (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ActivityMethodAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ActivityMethodRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ActivityRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Address (as assignedTo)";"";"";"";""
"";"MaterialIdentification to AddressAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to AlternativeSolution (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Approval (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ApprovalAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownElementRealization (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownElementRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownElementVersionRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownElementView (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownElementViewRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownVersion (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownVersionAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to BreakdownVersionRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to CertificationAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Condition (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ConditionAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ConditionRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Contract (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ContractAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ContractRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to DateAndPersonAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to DateTimeAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to DocumentAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to DocumentDefinition (as assignedTo)";"";"";"";""
"";"MaterialIdentification to DocumentDefinitionRelationship (as assignedTo)";"";"";"";""
