"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Document";"";"";"";"";""
"";"Document to Classification (as classifiedAs)";"";"";"";""
"";"Document to CharacterString (as description)";"";"";"";""
"";"Document to Descriptor (as description)";"";"";"";""
"";"Document to DescriptorSet (as description)";"";"";"";""
"";"Document to LocalizedString (as description)";"";"";"";""
"";"Document to TranslatedStringSet (as description)";"";"";"";""
"";"Document to Class (as documentTypes)";"";"";"";""
"";"Document to ClassString (as documentTypes)";"";"";"";""
"";"Document to ExternalClass (as documentTypes)";"";"";"";""
"";"Document to ExternalOwlClass (as documentTypes)";"";"";"";""
"";"Document to Identifier (as id)";"";"";"";""
"";"Document to IdentifierSet (as id)";"";"";"";""
"";"Document to IdentifierString (as id)";"";"";"";""
"";"Document to CharacterString (as name)";"";"";"";""
"";"Document to Descriptor (as name)";"";"";"";""
"";"Document to DescriptorSet (as name)";"";"";"";""
"";"Document to LocalizedString (as name)";"";"";"";""
"";"Document to TranslatedStringSet (as name)";"";"";"";""
"";"Document to ExternalItem (as sameAs)";"";"";"";""
"";"Document to ExternalOwlObject (as sameAs)";"";"";"";""
"";"Document to Proxy (as sameAs)";"";"";"";""
"";"Document to ProxyString (as sameAs)";"";"";"";""
"";"Document to DocumentVersion (as versions)";"";"";"";""
"DocumentAssignment";"";"";"";"";""
"";"DocumentAssignment to Document (as assignedDocument)";"";"";"";""
"";"DocumentAssignment to DocumentDefinition (as assignedDocument)";"";"";"";""
"";"DocumentAssignment to DocumentVersion (as assignedDocument)";"";"";"";""
"";"DocumentAssignment to File (as assignedDocument)";"";"";"";""
"";"DocumentAssignment to Activity (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ActivityAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ActivityMethod (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ActivityMethodAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ActivityMethodRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ActivityRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to AddressAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to AlternativeSolution (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Approval (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ApprovalAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ApprovalRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ApprovingPersonOrganization (as assignedTo)";"";"";"";""
"";"DocumentAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"DocumentAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Breakdown (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownContext (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElement (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElementRealization (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElementVersion (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElementVersionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElementView (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownElementViewRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownVersion (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownVersionAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to BreakdownVersionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Certification (as assignedTo)";"";"";"";""
"";"DocumentAssignment to CertificationAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Class (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ClassAttribute (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ClassString (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Classification (as assignedTo)";"";"";"";""
