"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Copyright";"";"";"";"";""
"InformationRight";"";"";"";"";""
"";"InformationRight to Classification (as classifiedAs)";"";"";"";""
"";"InformationRight to CharacterString (as description)";"";"";"";""
"";"InformationRight to Descriptor (as description)";"";"";"";""
"";"InformationRight to DescriptorSet (as description)";"";"";"";""
"";"InformationRight to LocalizedString (as description)";"";"";"";""
"";"InformationRight to TranslatedStringSet (as description)";"";"";"";""
"";"InformationRight to Identifier (as id)";"";"";"";""
"";"InformationRight to IdentifierSet (as id)";"";"";"";""
"";"InformationRight to IdentifierString (as id)";"";"";"";""
"";"InformationRight to CharacterString (as name)";"";"";"";""
"";"InformationRight to Descriptor (as name)";"";"";"";""
"";"InformationRight to DescriptorSet (as name)";"";"";"";""
"";"InformationRight to LocalizedString (as name)";"";"";"";""
"";"InformationRight to TranslatedStringSet (as name)";"";"";"";""
"";"InformationRight to Organization (as owners)";"";"";"";""
"";"InformationRight to PersonInOrganization (as owners)";"";"";"";""
"";"InformationRight to CharacterString (as restriction)";"";"";"";""
"";"InformationRight to LocalizedString (as restriction)";"";"";"";""
"";"InformationRight to TranslatedStringSet (as restriction)";"";"";"";""
"InformationUsageRight";"";"";"";"";""
"";"InformationUsageRight to Classification (as classifiedAs)";"";"";"";""
"";"InformationUsageRight to CharacterString (as description)";"";"";"";""
"";"InformationUsageRight to Descriptor (as description)";"";"";"";""
"";"InformationUsageRight to DescriptorSet (as description)";"";"";"";""
"";"InformationUsageRight to LocalizedString (as description)";"";"";"";""
"";"InformationUsageRight to TranslatedStringSet (as description)";"";"";"";""
"";"InformationUsageRight to InformationRight (as grantsRight)";"";"";"";""
"";"InformationUsageRight to Identifier (as id)";"";"";"";""
"";"InformationUsageRight to IdentifierSet (as id)";"";"";"";""
"";"InformationUsageRight to IdentifierString (as id)";"";"";"";""
"";"InformationUsageRight to CharacterString (as name)";"";"";"";""
"";"InformationUsageRight to Descriptor (as name)";"";"";"";""
"";"InformationUsageRight to DescriptorSet (as name)";"";"";"";""
"";"InformationUsageRight to LocalizedString (as name)";"";"";"";""
"";"InformationUsageRight to TranslatedStringSet (as name)";"";"";"";""
"";"InformationUsageRight to Organization (as owners)";"";"";"";""
"";"InformationUsageRight to PersonInOrganization (as owners)";"";"";"";""
"InformationUsageRightAssignment";"";"";"";"";""
"";"InformationUsageRightAssignment to InformationUsageRight (as assignedRight)";"";"";"";""
"";"InformationUsageRightAssignment to Classification (as classifiedAs)";"";"";"";""
"";"InformationUsageRightAssignment to CharacterString (as description)";"";"";"";""
"";"InformationUsageRightAssignment to Descriptor (as description)";"";"";"";""
"";"InformationUsageRightAssignment to DescriptorSet (as description)";"";"";"";""
"";"InformationUsageRightAssignment to LocalizedString (as description)";"";"";"";""
"";"InformationUsageRightAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"InformationUsageRightAssignment to Identifier (as id)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierSet (as id)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierString (as id)";"";"";"";""
"";"InformationUsageRightAssignment to Activity (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ActivityAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ActivityMethod (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AlternativeSolution (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AlternativeSolutionRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Approval (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AssemblyOccurrenceRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AssemblyOccurrenceRelationshipSubstitution (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AssemblyViewRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to AssemblyViewRelationshipSubstitution (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Breakdown (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElement (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElementRealization (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElementVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElementVersionRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElementView (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownElementViewRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to BreakdownVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Certification (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Class (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ClassString (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Classification (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Condition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ConditionalConfiguration (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ConfiguredAssemblyEffectivity (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Contract (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DeltaChange (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Descriptor (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DescriptorRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DigitalFile (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Document (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DocumentDefinition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DocumentDefinitionRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to DocumentVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalClass (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalClassSystem (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalItem (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalOwlClass (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalPropertyDefinition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to File (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to FileRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to GeometricRepresentation (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Identifier (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierSet (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierString (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualAssemblyRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPart (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartTestResult (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartView (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationRight (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationUsageRight (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationUsageRightRelationship (as isAssignedTo)";"";"";"";""
