"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ComposedGeometricModel";"";"";"";"";""
"";"ComposedGeometricModel to AxisPlacement (as items)";"";"";"";""
"GeometricModel";"";"";"";"";""
"";"GeometricModel to LengthMeasure (as modelExtent)";"";"";"";""
"GeometricRepresentation";"";"";"";"";""
"";"GeometricRepresentation to Classification (as classifiedAs)";"";"";"";""
"";"GeometricRepresentation to GeometricCoordinateSpace (as contextOfItems)";"";"";"";""
"";"GeometricRepresentation to CharacterString (as description)";"";"";"";""
"";"GeometricRepresentation to Descriptor (as description)";"";"";"";""
"";"GeometricRepresentation to DescriptorSet (as description)";"";"";"";""
"";"GeometricRepresentation to LocalizedString (as description)";"";"";"";""
"";"GeometricRepresentation to TranslatedStringSet (as description)";"";"";"";""
"";"GeometricRepresentation to Identifier (as id)";"";"";"";""
"";"GeometricRepresentation to IdentifierSet (as id)";"";"";"";""
"";"GeometricRepresentation to IdentifierString (as id)";"";"";"";""
"";"GeometricRepresentation to RepresentationItem (as items)";"";"";"";""
"";"GeometricRepresentation to CharacterString (as name)";"";"";"";""
"";"GeometricRepresentation to Descriptor (as name)";"";"";"";""
"";"GeometricRepresentation to DescriptorSet (as name)";"";"";"";""
"";"GeometricRepresentation to LocalizedString (as name)";"";"";"";""
"";"GeometricRepresentation to TranslatedStringSet (as name)";"";"";"";""
"";"GeometricRepresentation to Class (as representationTypes)";"";"";"";""
"";"GeometricRepresentation to ClassString (as representationTypes)";"";"";"";""
"";"GeometricRepresentation to ExternalClass (as representationTypes)";"";"";"";""
"";"GeometricRepresentation to ExternalOwlClass (as representationTypes)";"";"";"";""
"";"GeometricRepresentation to Identifier (as versionId)";"";"";"";""
"";"GeometricRepresentation to IdentifierSet (as versionId)";"";"";"";""
"";"GeometricRepresentation to IdentifierString (as versionId)";"";"";"";""
"GeometricRepresentationRelationship";"";"";"";"";""
"";"GeometricRepresentationRelationship to Classification (as classifiedAs)";"";"";"";""
"";"definitional";"";"";"";""
"";"GeometricRepresentationRelationship to CharacterString (as description)";"";"";"";""
"";"GeometricRepresentationRelationship to Descriptor (as description)";"";"";"";""
"";"GeometricRepresentationRelationship to DescriptorSet (as description)";"";"";"";""
"";"GeometricRepresentationRelationship to LocalizedString (as description)";"";"";"";""
"";"GeometricRepresentationRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"GeometricRepresentationRelationship to Identifier (as id)";"";"";"";""
"";"GeometricRepresentationRelationship to IdentifierSet (as id)";"";"";"";""
"";"GeometricRepresentationRelationship to IdentifierString (as id)";"";"";"";""
"";"GeometricRepresentationRelationship to GeometricRepresentation (as related)";"";"";"";""
"";"GeometricRepresentationRelationship to GeometricRepresentation (as relating)";"";"";"";""
"GeometricRepresentationRelationshipWithCartesianTransformation";"";"";"";"";""
"";"GeometricRepresentationRelationshipWithCartesianTransformation to CartesianTransformation (as transformation)";"";"";"";""
"GeometricRepresentationRelationshipWithPlacementTransformation";"";"";"";"";""
"";"GeometricRepresentationRelationshipWithPlacementTransformation to AxisPlacement (as origin)";"";"";"";""
"";"GeometricRepresentationRelationshipWithPlacementTransformation to AxisPlacement (as target)";"";"";"";""
"GeometricRepresentationRelationshipWithSameCoordinateSpace";"";"";"";"";""
"TransformedGeometricModel";"";"";"";"";""
"";"TransformedGeometricModel to AxisPlacement (as items)";"";"";"";""
"";"TransformedGeometricModel to CartesianTransformation (as items)";"";"";"";""
"";"TransformedGeometricModel to GeometricModel (as sourceModel)";"";"";"";""
