"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"CircularPath";"";"";"";"";""
"";"CircularPath to CartesianPoint (as viaPoint)";"";"";"";""
"KinematicPathDefinedByNodes";"";"";"";"";""
"";"KinematicPathDefinedByNodes to AxisPlacement (as placementStart)";"";"";"";""
"";"KinematicPathDefinedByNodes to PathSegment (as segments)";"";"";"";""
"";"tStart";"";"";"";""
"LinearPath";"";"";"";"";""
"LinkMotionAlongPath";"";"";"";"";""
"";"LinkMotionAlongPath to KinematicPathDefinedByNodes (as items)";"";"";"";""
"";"LinkMotionAlongPath to Unit (as timeUnit)";"";"";"";""
"LinkMotionDecompositionRelationship";"";"";"";"";""
"";"LinkMotionDecompositionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"LinkMotionDecompositionRelationship to CharacterString (as description)";"";"";"";""
"";"LinkMotionDecompositionRelationship to Descriptor (as description)";"";"";"";""
"";"LinkMotionDecompositionRelationship to DescriptorSet (as description)";"";"";"";""
"";"LinkMotionDecompositionRelationship to LocalizedString (as description)";"";"";"";""
"";"LinkMotionDecompositionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"LinkMotionDecompositionRelationship to Identifier (as id)";"";"";"";""
"";"LinkMotionDecompositionRelationship to IdentifierSet (as id)";"";"";"";""
"";"LinkMotionDecompositionRelationship to IdentifierString (as id)";"";"";"";""
"";"LinkMotionDecompositionRelationship to LinkMotionAlongPath (as related)";"";"";"";""
"";"LinkMotionDecompositionRelationship to LinkMotionAlongPath (as relating)";"";"";"";""
"LinkMotionRelationship";"";"";"";"";""
"";"LinkMotionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"LinkMotionRelationship to CharacterString (as description)";"";"";"";""
"";"LinkMotionRelationship to Descriptor (as description)";"";"";"";""
"";"LinkMotionRelationship to DescriptorSet (as description)";"";"";"";""
"";"LinkMotionRelationship to LocalizedString (as description)";"";"";"";""
"";"LinkMotionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"LinkMotionRelationship to Identifier (as id)";"";"";"";""
"";"LinkMotionRelationship to IdentifierSet (as id)";"";"";"";""
"";"LinkMotionRelationship to IdentifierString (as id)";"";"";"";""
"";"LinkMotionRelationship to ExternalGeometricModel (as related)";"";"";"";""
"";"LinkMotionRelationship to LinkMotionAlongPath (as relating)";"";"";"";""
"";"LinkMotionRelationship to Class (as relationType)";"";"";"";""
"";"LinkMotionRelationship to ClassString (as relationType)";"";"";"";""
"";"LinkMotionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"LinkMotionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"";"LinkMotionRelationship to LinkMotionTransformation (as tranformationOperator)";"";"";"";""
"LinkMotionTransformation";"";"";"";"";""
"";"LinkMotionTransformation to AxisPlacement (as transformItem1)";"";"";"";""
"";"LinkMotionTransformation to KinematicPathDefinedByNodes (as transformItem2)";"";"";"";""
"PathSegment";"";"";"";"";""
"";"PathSegment to AxisPlacement (as placementEnd)";"";"";"";""
"";"tEnd";"";"";"";""
"";"PathSegment to TransitionCodeEnum (as transition)";"";"";"";""
"PointToPointPath";"";"";"";"";""
