"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"CoatingLayer";"";"";"";"";""
"SurfaceCondition";"";"";"";"";""
"";"SurfaceCondition to AssemblyViewRelationship (as assignedTo)";"";"";"";""
"";"SurfaceCondition to BreakdownElementView (as assignedTo)";"";"";"";""
"";"SurfaceCondition to IndividualPartView (as assignedTo)";"";"";"";""
"";"SurfaceCondition to Occurrence (as assignedTo)";"";"";"";""
"";"SurfaceCondition to PartView (as assignedTo)";"";"";"";""
"";"SurfaceCondition to ShapeElement (as assignedTo)";"";"";"";""
"";"SurfaceCondition to ClassString (as conditionType)";"";"";"";""
"";"SurfaceCondition to DigitalFile (as definedIn)";"";"";"";""
"";"SurfaceCondition to Identifier (as id)";"";"";"";""
"";"SurfaceCondition to IdentifierSet (as id)";"";"";"";""
"";"SurfaceCondition to IdentifierString (as id)";"";"";"";""
