"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ApplicationDomain";"";"";"";"";""
"";"ApplicationDomain to ExternalItem (as sameAs)";"";"";"";""
"";"ApplicationDomain to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ApplicationDomain to Proxy (as sameAs)";"";"";"";""
"";"ApplicationDomain to ProxyString (as sameAs)";"";"";"";""
"LifeCycleStage";"";"";"";"";""
"";"LifeCycleStage to ExternalItem (as sameAs)";"";"";"";""
"";"LifeCycleStage to ExternalOwlObject (as sameAs)";"";"";"";""
"";"LifeCycleStage to Proxy (as sameAs)";"";"";"";""
"";"LifeCycleStage to ProxyString (as sameAs)";"";"";"";""
"PartView";"";"";"";"";""
"";"PartView to ViewContext (as additionalContexts)";"";"";"";""
"";"PartView to Classification (as classifiedAs)";"";"";"";""
"";"PartView to GeometricModel (as definingGeometry)";"";"";"";""
"";"PartView to CharacterString (as description)";"";"";"";""
"";"PartView to Descriptor (as description)";"";"";"";""
"";"PartView to DescriptorSet (as description)";"";"";"";""
"";"PartView to LocalizedString (as description)";"";"";"";""
"";"PartView to TranslatedStringSet (as description)";"";"";"";""
"";"PartView to Identifier (as id)";"";"";"";""
"";"PartView to IdentifierSet (as id)";"";"";"";""
"";"PartView to IdentifierString (as id)";"";"";"";""
"";"PartView to ViewContext (as initialContext)";"";"";"";""
"";"PartView to ExternalItem (as sameAs)";"";"";"";""
"";"PartView to ExternalOwlObject (as sameAs)";"";"";"";""
"";"PartView to Proxy (as sameAs)";"";"";"";""
"";"PartView to ProxyString (as sameAs)";"";"";"";""
"PartViewRelationship";"";"";"";"";""
"";"PartViewRelationship to Classification (as classifiedAs)";"";"";"";""
"";"PartViewRelationship to CharacterString (as description)";"";"";"";""
"";"PartViewRelationship to Descriptor (as description)";"";"";"";""
"";"PartViewRelationship to DescriptorSet (as description)";"";"";"";""
"";"PartViewRelationship to LocalizedString (as description)";"";"";"";""
"";"PartViewRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"PartViewRelationship to Identifier (as id)";"";"";"";""
"";"PartViewRelationship to IdentifierSet (as id)";"";"";"";""
"";"PartViewRelationship to IdentifierString (as id)";"";"";"";""
"";"PartViewRelationship to PartView (as related)";"";"";"";""
"";"PartViewRelationship to PartView (as relating)";"";"";"";""
"";"PartViewRelationship to Class (as relationType)";"";"";"";""
"";"PartViewRelationship to ClassString (as relationType)";"";"";"";""
"";"PartViewRelationship to ExternalClass (as relationType)";"";"";"";""
"";"PartViewRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"ViewContext";"";"";"";"";""
"";"ViewContext to ApplicationDomain (as applicationDomain)";"";"";"";""
"";"ViewContext to ExternalItem (as applicationDomain)";"";"";"";""
"";"ViewContext to ExternalOwlObject (as applicationDomain)";"";"";"";""
"";"ViewContext to Proxy (as applicationDomain)";"";"";"";""
"";"ViewContext to ProxyString (as applicationDomain)";"";"";"";""
"";"ViewContext to CharacterString (as description)";"";"";"";""
"";"ViewContext to Descriptor (as description)";"";"";"";""
"";"ViewContext to DescriptorSet (as description)";"";"";"";""
"";"ViewContext to LocalizedString (as description)";"";"";"";""
"";"ViewContext to TranslatedStringSet (as description)";"";"";"";""
"";"ViewContext to ExternalItem (as lifeCycleStage)";"";"";"";""
"";"ViewContext to ExternalOwlObject (as lifeCycleStage)";"";"";"";""
"";"ViewContext to LifeCycleStage (as lifeCycleStage)";"";"";"";""
"";"ViewContext to Proxy (as lifeCycleStage)";"";"";"";""
"";"ViewContext to ProxyString (as lifeCycleStage)";"";"";"";""
