"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AssemblyJoint";"";"";"";"";""
"";"AssemblyJoint to AssemblyDefinition (as assemblyShape)";"";"";"";""
"";"AssemblyJoint to Classification (as classifiedAs)";"";"";"";""
"";"AssemblyJoint to CharacterString (as description)";"";"";"";""
"";"AssemblyJoint to Descriptor (as description)";"";"";"";""
"";"AssemblyJoint to DescriptorSet (as description)";"";"";"";""
"";"AssemblyJoint to LocalizedString (as description)";"";"";"";""
"";"AssemblyJoint to TranslatedStringSet (as description)";"";"";"";""
"";"AssemblyJoint to Identifier (as id)";"";"";"";""
"";"AssemblyJoint to IdentifierSet (as id)";"";"";"";""
"";"AssemblyJoint to IdentifierString (as id)";"";"";"";""
"";"AssemblyJoint to CharacterString (as name)";"";"";"";""
"";"AssemblyJoint to Descriptor (as name)";"";"";"";""
"";"AssemblyJoint to DescriptorSet (as name)";"";"";"";""
"";"AssemblyJoint to LocalizedString (as name)";"";"";"";""
"";"AssemblyJoint to TranslatedStringSet (as name)";"";"";"";""
"";"AssemblyJoint to ShapeElement (as shapeElement1)";"";"";"";""
"";"AssemblyJoint to ShapeElement (as shapeElement2)";"";"";"";""
"MakeFromRelationship";"";"";"";"";""
"";"priority";"";"";"";""
"";"MakeFromRelationship to ValueWithUnit (as quantity)";"";"";"";""
"";"MakeFromRelationship to ClassString (as relationType)";"";"";"";""
"MatedPartAssociation";"";"";"";"";""
"";"MatedPartAssociation to MatingDefinition (as relating)";"";"";"";""
"MatedPartRelationship";"";"";"";"";""
"";"MatedPartRelationship to Classification (as classifiedAs)";"";"";"";""
"";"MatedPartRelationship to CharacterString (as description)";"";"";"";""
"";"MatedPartRelationship to Descriptor (as description)";"";"";"";""
"";"MatedPartRelationship to DescriptorSet (as description)";"";"";"";""
"";"MatedPartRelationship to LocalizedString (as description)";"";"";"";""
"";"MatedPartRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"MatedPartRelationship to Identifier (as id)";"";"";"";""
"";"MatedPartRelationship to IdentifierSet (as id)";"";"";"";""
"";"MatedPartRelationship to IdentifierString (as id)";"";"";"";""
"";"MatedPartRelationship to AssemblyJoint (as matedShapes)";"";"";"";""
"";"MatedPartRelationship to QuantifiedOccurrence (as matingMaterials)";"";"";"";""
"";"MatedPartRelationship to MatingTypeEnum (as matingType)";"";"";"";""
"";"MatedPartRelationship to MatedPartAssociation (as related)";"";"";"";""
"";"MatedPartRelationship to MatedPartAssociation (as relating)";"";"";"";""
"MatingDefinition";"";"";"";"";""
"";"MatingDefinition to Class (as matingType)";"";"";"";""
"";"MatingDefinition to ClassString (as matingType)";"";"";"";""
"";"MatingDefinition to ExternalClass (as matingType)";"";"";"";""
"";"MatingDefinition to ExternalOwlClass (as matingType)";"";"";"";""
"ProcessStateRelationship";"";"";"";"";""
"";"ProcessStateRelationship to ClassString (as relationType)";"";"";"";""
"SameTimeMachiningRelationship";"";"";"";"";""
"";"SameTimeMachiningRelationship to CartesianTransformation (as placement)";"";"";"";""
"";"SameTimeMachiningRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement)";"";"";"";""
"";"SameTimeMachiningRelationship to ClassString (as relationType)";"";"";"";""
"ToolPartRelationship";"";"";"";"";""
"";"ToolPartRelationship to CartesianTransformation (as placement)";"";"";"";""
"";"ToolPartRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement)";"";"";"";""
"";"ToolPartRelationship to ClassString (as relationType)";"";"";"";""
