"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"EvaluatedCharacteristic";"";"";"";"";""
"";"EvaluatedCharacteristic to PropertyValue (as actualCharacteristics)";"";"";"";""
"";"EvaluatedCharacteristic to Classification (as classifiedAs)";"";"";"";""
"";"EvaluatedCharacteristic to CharacterString (as description)";"";"";"";""
"";"EvaluatedCharacteristic to Descriptor (as description)";"";"";"";""
"";"EvaluatedCharacteristic to DescriptorSet (as description)";"";"";"";""
"";"EvaluatedCharacteristic to LocalizedString (as description)";"";"";"";""
"";"EvaluatedCharacteristic to TranslatedStringSet (as description)";"";"";"";""
"";"EvaluatedCharacteristic to EvaluationResultEnum (as evaluationResult)";"";"";"";""
"";"EvaluatedCharacteristic to EvaluationStatusEnum (as evaluationStatus)";"";"";"";""
"";"EvaluatedCharacteristic to Identifier (as id)";"";"";"";""
"";"EvaluatedCharacteristic to IdentifierSet (as id)";"";"";"";""
"";"EvaluatedCharacteristic to IdentifierString (as id)";"";"";"";""
"";"EvaluatedCharacteristic to CharacterString (as name)";"";"";"";""
"";"EvaluatedCharacteristic to Descriptor (as name)";"";"";"";""
"";"EvaluatedCharacteristic to DescriptorSet (as name)";"";"";"";""
"";"EvaluatedCharacteristic to LocalizedString (as name)";"";"";"";""
"";"EvaluatedCharacteristic to TranslatedStringSet (as name)";"";"";"";""
"";"EvaluatedCharacteristic to PlannedCharacteristic (as plannedCharacteristics)";"";"";"";""
"IndividualPartTestResult";"";"";"";"";""
"";"IndividualPartTestResult to IndividualPartView (as testedPart)";"";"";"";""
"MeasuredCharacteristic";"";"";"";"";""
"";"MeasuredCharacteristic to Classification (as classifiedAs)";"";"";"";""
"";"MeasuredCharacteristic to CharacterString (as description)";"";"";"";""
"";"MeasuredCharacteristic to Descriptor (as description)";"";"";"";""
"";"MeasuredCharacteristic to DescriptorSet (as description)";"";"";"";""
"";"MeasuredCharacteristic to LocalizedString (as description)";"";"";"";""
"";"MeasuredCharacteristic to TranslatedStringSet (as description)";"";"";"";""
"";"MeasuredCharacteristic to Identifier (as id)";"";"";"";""
"";"MeasuredCharacteristic to IdentifierSet (as id)";"";"";"";""
"";"MeasuredCharacteristic to IdentifierString (as id)";"";"";"";""
"";"MeasuredCharacteristic to Activity (as measureActivity)";"";"";"";""
"";"MeasuredCharacteristic to ProcessOperationOccurrence (as measureActivity)";"";"";"";""
"";"MeasuredCharacteristic to PropertyValue (as measuredCharacteristics)";"";"";"";""
"";"MeasuredCharacteristic to CharacterString (as name)";"";"";"";""
"";"MeasuredCharacteristic to Descriptor (as name)";"";"";"";""
"";"MeasuredCharacteristic to DescriptorSet (as name)";"";"";"";""
"";"MeasuredCharacteristic to LocalizedString (as name)";"";"";"";""
"";"MeasuredCharacteristic to TranslatedStringSet (as name)";"";"";"";""
"PlannedCharacteristic";"";"";"";"";""
"";"PlannedCharacteristic to RequirementAssignment (as definedFor)";"";"";"";""
"";"PlannedCharacteristic to CharacterString (as name)";"";"";"";""
"";"PlannedCharacteristic to Descriptor (as name)";"";"";"";""
"";"PlannedCharacteristic to DescriptorSet (as name)";"";"";"";""
"";"PlannedCharacteristic to LocalizedString (as name)";"";"";"";""
"";"PlannedCharacteristic to TranslatedStringSet (as name)";"";"";"";""
"";"PlannedCharacteristic to PropertyValue (as plannedCharacteristics)";"";"";"";""
