"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AxisPlacement";"";"";"";"";""
"";"AxisPlacement to LengthMeasure (as axis)";"";"";"";""
"";"dim";"";"";"";""
"";"AxisPlacement to LengthMeasure (as position)";"";"";"";""
"";"AxisPlacement to LengthMeasure (as refDirection)";"";"";"";""
"CartesianPoint";"";"";"";"";""
"";"CartesianPoint to LengthMeasure (as coordinates)";"";"";"";""
"";"dim";"";"";"";""
"CartesianTransformation";"";"";"";"";""
"";"dim";"";"";"";""
"";"CartesianTransformation to LengthMeasure (as rotationMatrix)";"";"";"";""
"";"scale";"";"";"";""
"";"scl";"";"";"";""
"";"CartesianTransformation to LengthMeasure (as translationVector)";"";"";"";""
"DetailedGeometricModelItem";"";"";"";"";""
"Direction";"";"";"";"";""
"";"dim";"";"";"";""
"";"Direction to LengthMeasure (as directionRatios)";"";"";"";""
"ExternalItem";"";"";"";"";""
"";"ExternalItem to CharacterString (as description)";"";"";"";""
"";"ExternalItem to Descriptor (as description)";"";"";"";""
"";"ExternalItem to DescriptorSet (as description)";"";"";"";""
"";"ExternalItem to LocalizedString (as description)";"";"";"";""
"";"ExternalItem to TranslatedStringSet (as description)";"";"";"";""
"";"ExternalItem to Identifier (as id)";"";"";"";""
"";"ExternalItem to IdentifierString (as id)";"";"";"";""
"";"ExternalItem to DigitalFile (as source)";"";"";"";""
"";"ExternalItem to Document (as source)";"";"";"";""
"";"ExternalItem to Identifier (as source)";"";"";"";""
"";"ExternalItem to IdentifierSet (as source)";"";"";"";""
"";"ExternalItem to IdentifierString (as source)";"";"";"";""
"ExternalRepresentationItem";"";"";"";"";""
"";"ExternalRepresentationItem to ExternalItem (as external)";"";"";"";""
"GeometricCoordinateSpace";"";"";"";"";""
"";"GeometricCoordinateSpace to MeasureQualification (as accuracies)";"";"";"";""
"";"dimensionCount";"";"";"";""
"";"GeometricCoordinateSpace to Identifier (as id)";"";"";"";""
"";"GeometricCoordinateSpace to IdentifierSet (as id)";"";"";"";""
"";"GeometricCoordinateSpace to IdentifierString (as id)";"";"";"";""
"";"GeometricCoordinateSpace to Unit (as units)";"";"";"";""
"Point";"";"";"";"";""
"RepresentationItem";"";"";"";"";""
"";"RepresentationItem to ExternalItem (as external)";"";"";"";""
"";"RepresentationItem to CharacterString (as name)";"";"";"";""
"";"RepresentationItem to Descriptor (as name)";"";"";"";""
"";"RepresentationItem to DescriptorSet (as name)";"";"";"";""
"";"RepresentationItem to LocalizedString (as name)";"";"";"";""
"";"RepresentationItem to TranslatedStringSet (as name)";"";"";"";""
