BO;Attribute;ARM Element;Source;Rules;Reference path
Activity;;NO MAPPING PROVIDED;;;
ActivityAssignment;;Applied_activity_assignment;442;;
;ActivityAssignment to Activity (as assignedActivity);;PATH;;Applied_activity_assignment.assigned_activity ->
Activity
;ActivityAssignment to Activity (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to ActivityAssignment (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to ActivityMethod (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to ActivityMethodAssignment (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to ActivityRelationship (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AddressAssignment (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AlternatePartRelationship (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AlternativeSolution (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to ApprovalAssignment (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AssemblyViewRelationshipSubstitution (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to AssignmentObjectRelationship (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to Breakdown (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
;ActivityAssignment to BreakdownElement (as assignedTo);PATH;;;/Applied_activity_assignment(MAPPING_OF(^TO_ASSERTION))/;;
