"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"WorkOrder";;"NO MAPPING PROVIDED";;;
;"WorkOrder to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"WorkOrder to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"WorkOrder to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"WorkOrder to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"WorkOrder to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"WorkOrder to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"WorkOrder to WorkRequest (as inResponseTo)";"NO MAPPING PROVIDED";;;
;"WorkOrder to Class (as orderType)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ClassString (as orderType)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ExternalClass (as orderType)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ExternalOwlClass (as orderType)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ExternalItem (as sameAs)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ExternalOwlObject (as sameAs)";"NO MAPPING PROVIDED";;;
;"WorkOrder to Proxy (as sameAs)";"NO MAPPING PROVIDED";;;
;"WorkOrder to ProxyString (as sameAs)";"NO MAPPING PROVIDED";;;
;"WorkOrder to Identifier (as versionId)";"NO MAPPING PROVIDED";;;
;"WorkOrder to IdentifierSet (as versionId)";"NO MAPPING PROVIDED";;;
;"WorkOrder to IdentifierString (as versionId)";"NO MAPPING PROVIDED";;;
"WorkOrderAssignment";;"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to WorkOrder (as assignedWorkOrder)";"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"WorkOrderAssignment to Descriptor (as description)";"NO MAPPING PROVIDED";;;
