BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
ShapeElement;;Shape_element;442;;;;
;ShapeElement to Classification (as classifiedAs);PATH;;;"Shape_element
/classifiedAs_AS_Classification(Shape_element_relationship)/";;
;ShapeElement to CharacterString (as description);Shape_element.description;442;;;;
;ShapeElement to Descriptor (as description);PATH;;;"Shape_element
/description_AS_Descriptor(Shape_element)/";;
;ShapeElement to DescriptorSet (as description);PATH;;;"Shape_element
/description_AS_DescriptorSet(Shape_element)/";;
;ShapeElement to LocalizedString (as description);PATH;;;"Shape_element
/description_AS_LocalizedString(Shape_element)/";;
;ShapeElement to TranslatedStringSet (as description);PATH;;;"Shape_element
/description_AS_TranslatedStringSet(Shape_element)/";;
;ShapeElement to AssemblyViewRelationship (as elementOf);PATH;;;"Shape_element
Shape_element.containing_shape ->
Item_shape
Item_shape.described_element ->
shapeable_item
shapeable_item = /MAPPING_OF(AssemblyViewRelationship)/
/MAPPING_OF(AssemblyViewRelationship)/";;
;ShapeElement to BreakdownElementView (as elementOf);PATH;;;"Shape_element
Shape_element.containing_shape ->
Item_shape
Item_shape.described_element ->
shapeable_item
shapeable_item = /MAPPING_OF(BreakdownElementView)/
/MAPPING_OF(BreakdownElementView)/";;
;ShapeElement to IndividualPartView (as elementOf);PATH;;;"Shape_element
Shape_element.containing_shape ->
Item_shape
Item_shape.described_element ->
shapeable_item
shapeable_item = /MAPPING_OF(IndividualPartView)/
/MAPPING_OF(IndividualPartView)/";;
;ShapeElement to Occurrence (as elementOf);PATH;;;"Shape_element
Shape_element.containing_shape ->
Item_shape
Item_shape.described_element ->
shapeable_item
shapeable_item = /MAPPING_OF(Occurrence)/
/MAPPING_OF(Occurrence)/";;
;ShapeElement to PartView (as elementOf);PATH;;;"Shape_element
Shape_element.containing_shape ->
Item_shape
Item_shape.described_element ->
shapeable_item
shapeable_item = /MAPPING_OF(PartView)/
/MAPPING_OF(PartView)/";;
;ShapeElement to Identifier (as id);PATH;;;"Shape_element
/id_AS_Identifier(Shape_element)/";;
;ShapeElement to IdentifierSet (as id);PATH;;;"Shape_element
/id_AS_IdentifierSet(Shape_element)/";;
;ShapeElement to IdentifierString (as id);Shape_element.id;442;exactly_one_ExchangeContext;;;
;ShapeElement to CharacterString (as name);NO MAPPING;;;;ARM Element should be Shape_element.name;.name attribute not available in the modules
;ShapeElement to Descriptor (as name);PATH;;;"Shape_element
/name_AS_Descriptor(Shape_element)/";;
;ShapeElement to DescriptorSet (as name);PATH;;;"Shape_element
/name_AS_DescriptorSet(Shape_element)/";;
;ShapeElement to LocalizedString (as name);PATH;;;"Shape_element
/name_AS_LocalizedString(Shape_element)/";;
;ShapeElement to TranslatedStringSet (as name);PATH;;;"Shape_element
/name_AS_TranslatedStringSet(Shape_element)/";;
;ShapeElement to RepresentationItem (as representedGeometry);PATH;;;"Shape_element <-
Property_definition_representation.represented_definition
Property_definition_representation
Property_definition_representation.used_representation ->
Representation
Representation.items[1] ->
/MAPPING_OF(RepresentationItem)/";;
ShapeElementRelationship;;Shape_element_relationship;442;;;;
;ShapeElementRelationship to Classification (as classifiedAs);PATH;;;"Shape_element_relationship
/classifiedAs_AS_Classification(Shape_element_relationship)/";;
;ShapeElementRelationship to CharacterString (as description);Shape_element_relationship.description;442;;;;
;ShapeElementRelationship to Descriptor (as description);PATH;;;"Shape_element_relationship
/description_AS_Descriptor(Shape_element_relationship)/";;
;ShapeElementRelationship to DescriptorSet (as description);PATH;;;"Shape_element_relationship
/description_AS_DescriptorSet(Shape_element_relationship)/";;
;ShapeElementRelationship to LocalizedString (as description);PATH;;;"Shape_element_relationship
/description_AS_LocalizedString(Shape_element_relationship)/";;
;ShapeElementRelationship to TranslatedStringSet (as description);PATH;;;"Shape_element_relationship
/description_AS_TranslatedStringSet(Shape_element_relationship)/";;
;ShapeElementRelationship to Identifier (as id);PATH;;;"Shape_element_relationship
/id_AS_Identifier(Shape_element_relationship)/";;
;ShapeElementRelationship to IdentifierSet (as id);PATH;;;"Shape_element_relationship
/id_AS_IdentifierSet(Shape_element_relationship)/";;
;ShapeElementRelationship to IdentifierString (as id);Shape_element.id;442;exactly_one_ExchangeContext;;;
;ShapeElementRelationship to ShapeElement (as related);Shape_element_relationship.related;442;;;;
;ShapeElementRelationship to ShapeElement (as relating);Shape_element_relationship.relating;442;;;;
;ShapeElementRelationship to Class (as relationType);PATH;;;"Shape_element_relationship
/TYPEINFO_AS_Class(Shape_element_relationship, 'relation type')/";;
;ShapeElementRelationship to ClassString (as relationType);Shape_element_relationship.relation_type;442;;;;
;ShapeElementRelationship to ExternalClass (as relationType);PATH;;;"Shape_element_relationship
/TYPEINFO_AS_ExternalClass(Shape_element_relationship, 'relation type')/";;
;ShapeElementRelationship to ExternalOwlClass (as relationType);PATH;;;"Shape_element_relationship
/TYPEINFO_AS_ExternalOwlClass(Shape_element_relationship, 'relation type')/";;
;ShapeElementRelationship to RepresentationItem (as representedGeometry);PATH;;;"Shape_element_relationship <-
Property_definition_representation.represented_definition
Property_definition_representation
Property_definition_representation.used_representation ->
Representation
Representation.items[1] ->
/MAPPING_OF(RepresentationItem)/";;
