"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path";"Remarks";"Issues against ARM"
"DataValidityEffectivity";;"Effectivity";442;;"{Effectivity =>
Dated_effectivity}";;
"Effectivity";;"Effectivity";442;;"{Effectivity =>
Dated_effectivity}";;
;"Effectivity to Classification (as classifiedAs)";"PATH";;;"Effectivity
/classifiedAs_AS_Classification(Effectivity)/";;
;"Effectivity to Organization (as concernedOrganizations)";"PATH";;;"/assigned_Organization(Effectivity, 'concerned organization')/";;"nice to have:
Organization_assignment is missing in the modules"
;"Effectivity to CharacterString (as description)";"Effectivity.description";442;;;;
;"Effectivity to Descriptor (as description)";"PATH";;;"Effectivity
/description_AS_Descriptor(Effectivity)/";;
;"Effectivity to DescriptorSet (as description)";"PATH";;;"Effectivity
/description_AS_DescriptorSet(Effectivity)/";;
;"Effectivity to LocalizedString (as description)";"PATH";;;"Effectivity
/description_AS_LocalizedString(Effectivity)/";;
;"Effectivity to TranslatedStringSet (as description)";"PATH";;;"Effectivity
/description_AS_TranslatedStringSet(Effectivity)/";;
;"Effectivity to Activity (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(Activity)/
/MAPPING_OF(Activity)/";;
;"Effectivity to Contract (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(Contract)/
/MAPPING_OF(Contract)/";;
;"Effectivity to Organization (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(Organization)/
/MAPPING_OF(Organization)/";;
;"Effectivity to PersonInOrganization (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(PersonInOrganization)/
/MAPPING_OF(PersonInOrganization)/";;
;"Effectivity to ProductClass (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(ProductClass)/
/MAPPING_OF(ProductClass)/";;
;"Effectivity to ProductConfiguration (as effectivityContext)";"PATH";;;"Effectivity <-
Effectivity_assignment.assigned_effectivity
Effectivity_assignment
{Effectivity_assignment.role = 'effectivity context'}
Effectivity_assignment.items[1] ->
effectivity_item
effectivity_item = /MAPPING_OF(ProductConfiguration)/
/MAPPING_OF(ProductConfiguration)/";;
