"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Class";;"NO MAPPING PROVIDED";;;
;"Class to ExternalClassSystem (as definedIn)";"NO MAPPING PROVIDED";;;
;"Class to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"Class to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"Class to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"Class to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"Class to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"Class to Identifier (as versionId)";"NO MAPPING PROVIDED";;;
;"Class to IdentifierString (as versionId)";"NO MAPPING PROVIDED";;;
"ClassAttribute";;"NO MAPPING PROVIDED";;;
;"ClassAttribute to PropertyValue (as allowedValues)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to PropertyDefinition (as attributeDefinition)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to Class (as definedFor)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to CharacterString (as name)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to Descriptor (as name)";"NO MAPPING PROVIDED";;;
;"ClassAttribute to LocalizedString (as name)";"NO MAPPING PROVIDED";;;
"Classification";;"Classification_assignment";;;
;"Classification to Class (as class)";"NO MAPPING PROVIDED";;;
;"Classification to ClassString (as class)";"NO MAPPING PROVIDED";;;
;"Classification to ExternalClass (as class)";"NO MAPPING PROVIDED";;;
;"Classification to ExternalOwlClass (as class)";"NO MAPPING PROVIDED";;;
;"Classification to ClassString (as role)";"NO MAPPING PROVIDED";;;
"ClassificationRelationship";;"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Classification (as related)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Classification (as relating)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to Class (as relationType)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to ClassString (as relationType)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to ExternalClass (as relationType)";"NO MAPPING PROVIDED";;;
;"ClassificationRelationship to ExternalOwlClass (as relationType)";"NO MAPPING PROVIDED";;;
"ExchangeContextClassLibrary";;"NO MAPPING PROVIDED";;;
;"ExchangeContextClassLibrary to Uri (as id)";"NO MAPPING PROVIDED";;;
"ExternalClass";;"NO MAPPING PROVIDED";;;
;"ExternalClass to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClass to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClass to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClass to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"ExternalClass to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"ExternalClass to DigitalFile (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClass to Document (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClass to Identifier (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClass to IdentifierString (as source)";"NO MAPPING PROVIDED";;;
"ExternalClassSystem";;"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to DigitalFile (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to Document (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to Identifier (as source)";"NO MAPPING PROVIDED";;;
;"ExternalClassSystem to IdentifierString (as source)";"NO MAPPING PROVIDED";;;
"ExternalOwlClass";;"NO MAPPING PROVIDED";;;
;"ExternalOwlClass to Uri (as class)";"NO MAPPING PROVIDED";;;
"ExternalOwlObject";;"NO MAPPING PROVIDED";;;
;"ExternalOwlObject to Uri (as individual)";"NO MAPPING PROVIDED";;;
"Proxy";;"NO MAPPING PROVIDED";;;
;"Proxy to ExternalItem (as individual)";"NO MAPPING PROVIDED";;;
;"Proxy to ExternalOwlObject (as individual)";"NO MAPPING PROVIDED";;;
;"Proxy to ProxyString (as individual)";"NO MAPPING PROVIDED";;;
"ProxyRelationship";;"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Proxy (as related)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Proxy (as relating)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to Class (as relationType)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to ClassString (as relationType)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to ExternalClass (as relationType)";"NO MAPPING PROVIDED";;;
;"ProxyRelationship to ExternalOwlClass (as relationType)";"NO MAPPING PROVIDED";;;
"SecurityClassification";;"NO MAPPING PROVIDED";;;
;"SecurityClassification to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to Class (as level)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to ClassString (as level)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to ExternalClass (as level)";"NO MAPPING PROVIDED";;;
;"SecurityClassification to ExternalOwlClass (as level)";"NO MAPPING PROVIDED";;;
"SecurityClassificationAssignment";;"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to SecurityClassification (as assignedSecurityClassification)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ActivityAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ActivityMethodAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ActivityMethodRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to AlternativeSolution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to AssemblyOccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to AssemblyViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Breakdown (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownElementRealization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownElementRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownElementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownElementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to BreakdownVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Classification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ConditionalConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ConfiguredAssemblyEffectivity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Descriptor (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to DescriptorRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to DigitalFile (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Document (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to DocumentAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to DocumentDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to DocumentVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ExternalClassSystem (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ExternalPropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to File (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to GeometricRepresentation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Hardcopy (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Identifier (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IdentifierRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IndividualAssemblyRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IndividualPart (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IndividualPartTestResult (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IndividualPartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to IndividualPartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to MaterialIdentification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Part (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartToIndividualPartAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ProcessPlan (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ProductClass (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to ProductConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Project (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PropertyDefinitionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PropertyDefinitionString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to PropertyValueAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Proxy (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to Requirement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"SecurityClassificationAssignment to RequirementAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
