BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues
ExchangeContext;;NO MAPPING;442;;;ARM Element should be Default_context;Default_context is missing in the modules
;ExchangeContext to Language (as defaultLanguage);NO MAPPING;;;;;
;ExchangeContext to Unit (as defaultUnit);NO MAPPING;;;;;
;ExchangeContext to CharacterString (as description);NO MAPPING;;;;;Identification_assignment_relationship.description
;ExchangeContext to Descriptor (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_Descriptor(Identification_assignment_relationship)/"
;ExchangeContext to DescriptorSet (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_DescriptorSet(Identification_assignment_relationship)/"
;ExchangeContext to LocalizedString (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_LocalizedString(Identification_assignment_relationship)/"
;ExchangeContext to TranslatedStringSet (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_TranslatedStringSet(Identification_assignment_relationship)/"
;ExchangeContext to Identifier (as identificationContext);NO MAPPING;;;;;"Default_context
identification_item = Default_context
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'identification context'}"
;ExchangeContext to Organization (as identificationContext);NO MAPPING;;;;;"Default_context
organization_or_person_in_organization_item = Default_context
organization_or_person_in_organization_item <-
Organization_or_person_in_organization_assignment.items[1]
Organization_or_person_in_organization_assignment
{organization_or_person_in_organization_item.role = 'identification context'}"
Identifier;;Identification_assignment;442;;;;
;Identifier to Classification (as classifiedAs);PATH;;;"Identification_assignment
/classifiedAs_AS_Classification(Identification_assignment)/";;
;Identifier to IdentifierString (as id);Identification_assignment.identifier;442;;;;
;Identifier to Identifier (as identificationContext);PATH;;;"Identification_assignment
identification_item = Identification_assignment
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'identification context'}";;
;Identifier to Organization (as identificationContext);PATH;;;"Identification_assignment
organization_or_person_in_organization_item = Identification_assignment
organization_or_person_in_organization_item <-
Organization_or_person_in_organization_assignment.items[1]
Organization_or_person_in_organization_assignment
{organization_or_person_in_organization_item.role = 'identification context'}";;
;Identifier to Class (as role);PATH;;;"Identification_assignment
/TYPEINFO_AS_Class(Identification_assignment, 'role')/";;
;Identifier to ClassString (as role);Identification_assignment.role;442;;;;
;Identifier to ExternalClass (as role);PATH;;;"Identification_assignment
/TYPEINFO_AS_ExternalClass(Identification_assignment, 'role')/";;
;Identifier to ExternalOwlClass (as role);PATH;;;"Identification_assignment
/TYPEINFO_AS_ExternalOwlClass(Identification_assignment, 'role')/";;
IdentifierRelationship;;NO MAPPING;442;;;ARM Element should be Identification_assignment_relationship;Identification_assignment_relationship is missing in the modules
;IdentifierRelationship to Classification (as classifiedAs);NO MAPPING;;;;;"Identification_assignment_relationship
/classifiedAs_AS_Classification(Identification_assignment_relationship)/"
;IdentifierRelationship to CharacterString (as description);NO MAPPING;;;;;
;IdentifierRelationship to Descriptor (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_Descriptor(Identification_assignment_relationship)/"
;IdentifierRelationship to DescriptorSet (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_DescriptorSet(Identification_assignment_relationship)/"
;IdentifierRelationship to LocalizedString (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_LocalizedString(Identification_assignment_relationship)/"
;IdentifierRelationship to TranslatedStringSet (as description);NO MAPPING;;;;;"Identification_assignment_relationship
/description_AS_TranslatedStringSet(Identification_assignment_relationship)/"
;IdentifierRelationship to Identifier (as id);NO MAPPING;;;;;
;IdentifierRelationship to IdentifierSet (as id);NO MAPPING;;;;;
;IdentifierRelationship to IdentifierString (as id);NO MAPPING;;;;;
;IdentifierRelationship to Identifier (as related);NO MAPPING;;;;Identification_assignment_relationship.related;
;IdentifierRelationship to Identifier (as relating);NO MAPPING;;;;Identification_assignment_relationship.relating;
;IdentifierRelationship to Class (as relationType);NO MAPPING;;;;;"Identification_assignment_relationship
/TYPEINFO_AS_Class(Identification_assignment_relationship, 'relation type')/"
;IdentifierRelationship to ClassString (as relationType);NO MAPPING;;;;Identification_assignment_relationship.relation_type;
;IdentifierRelationship to ExternalClass (as relationType);NO MAPPING;;;;;"Identification_assignment_relationship
/TYPEINFO_AS_ExternalClass(Identification_assignment_relationship, 'relation type')/"
;IdentifierRelationship to ExternalOwlClass (as relationType);NO MAPPING;;;;;"Identification_assignment_relationship
/TYPEINFO_AS_ExternalOwlClass(Identification_assignment_relationship, 'relation type')/"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
