BO;Attribute;ARM Element;Source;Rules;Reference path
Descriptor;;Name_assignment;442;;"{Name_assignment
Name_assignment.role = 'description'}"
;Descriptor to Classification (as classifiedAs);"NO MAPPING";;;
;Descriptor to Identifier (as descriptionContext);"NO MAPPING";;;
;Descriptor to Organization (as descriptionContext);"NO MAPPING";;;
;Descriptor to Identifier (as id);"NO MAPPING";;;
;Descriptor to IdentifierSet (as id);"NO MAPPING";;;
;Descriptor to IdentifierString (as id);Name_assignment.name;;;
;Descriptor to CharacterString (as text);"NO MAPPING";;;
;Descriptor to LocalizedString (as text);"NO MAPPING";;;
;Descriptor to TranslatedStringSet (as text);"NO MAPPING";;;
DescriptorRelationship;;"NO MAPPING";;;
;DescriptorRelationship to Classification (as classifiedAs);"NO MAPPING";;;
;DescriptorRelationship to CharacterString (as description);"NO MAPPING";;;
;DescriptorRelationship to Descriptor (as description);"NO MAPPING";;;
;DescriptorRelationship to DescriptorSet (as description);"NO MAPPING";;;
;DescriptorRelationship to LocalizedString (as description);"NO MAPPING";;;
;DescriptorRelationship to TranslatedStringSet (as description);"NO MAPPING";;;
;DescriptorRelationship to Identifier (as id);"NO MAPPING";;;
;DescriptorRelationship to IdentifierSet (as id);"NO MAPPING";;;
;DescriptorRelationship to IdentifierString (as id);"NO MAPPING";;;
;DescriptorRelationship to Descriptor (as related);"NO MAPPING";;;
;DescriptorRelationship to Descriptor (as relating);"NO MAPPING";;;
;DescriptorRelationship to Class (as relationType);"NO MAPPING";;;
;DescriptorRelationship to ClassString (as relationType);"NO MAPPING";;;
;DescriptorRelationship to ExternalClass (as relationType);"NO MAPPING";;;
;DescriptorRelationship to ExternalOwlClass (as relationType);"NO MAPPING";;;
