BO,Attribute,ARM Element,Source,Rules,Reference path
ComposedGeometricModel,,geometric_composition_with_placement_transformation,,,
,ComposedGeometricModel to AxisPlacement (as items),NO MAPPING,,,
GeometricModel,,Geometric_model,,,
,GeometricModel to LengthMeasure (as modelExtent),Geometric_model.model_extent,,,
GeometricRepresentation,,Geometric_model,,,
,GeometricRepresentation to Classification (as classifiedAs),PATH,,,"/MAPPING_OF(GeometricRepresentation)/
/classifiedAs_AS_Classification(/MAPPING_OF(GeometricRepresentation)/)/"
,GeometricRepresentation to GeometricCoordinateSpace (as contextOfItems),PATH,,,"Geometric_model.context_of_items ->
Geometric_coordinate_space"
,GeometricRepresentation to CharacterString (as description),PATH,,,"Geometric_model <=
Representation.description"
,GeometricRepresentation to Descriptor (as description),NO MAPPING,,,
,GeometricRepresentation to DescriptorSet (as description),NO MAPPING,,,
,GeometricRepresentation to LocalizedString (as description),PATH,,,"Geometric_model <=
Representation
/description_AS_LocalizedString(Representation)/"
,GeometricRepresentation to TranslatedStringSet (as description),PATH,,,"Geometric_model <=
Representation
/description_AS_TranslatedStringSet(Representation)/"
,GeometricRepresentation to Identifier (as id),NO MAPPING,,,
,GeometricRepresentation to IdentifierSet (as id),NO MAPPING,,,
,GeometricRepresentation to IdentifierString (as id),PATH,,,"GeometricRepresentation <=
Representation.id"
,GeometricRepresentation to RepresentationItem (as items),PATH,,,"Geometric_model.items[i] ->
Geometric_model_item"
,GeometricRepresentation to CharacterString (as name),PATH,,,"GeometricRepresentation <=
Representation.name"
,GeometricRepresentation to Descriptor (as name),NO MAPPING,,,
,GeometricRepresentation to DescriptorSet (as name),NO MAPPING,,,
,GeometricRepresentation to LocalizedString (as name),PATH,,,"Geometric_model <=
Representation
/name_AS_LocalizedString(Representation)/"
,GeometricRepresentation to TranslatedStringSet (as name),PATH,,,"Geometric_model <=
Representation
/name_AS_TranslatedStringSet(Representation)/"
,GeometricRepresentation to Class (as representationTypes),PATH,,,"Geometric_model <=
Representation
/TYPEINFO_AS_Class(REpresentation, representation type')/"
,GeometricRepresentation to ClassString (as representationTypes),NO MAPPING,,,
,GeometricRepresentation to ExternalClass (as representationTypes),PATH,,,"Geometric_model <=
Representation
/TYPEINFO_AS_ExternalClass(Representation, representation type')/"
,GeometricRepresentation to ExternalOwlClass (as representationTypes),PATH,,,"Geometric_model <=
Representation
/TYPEINFO_AS_OwlClass(Representation, representation type')/"
,GeometricRepresentation to Identifier (as versionId),NO MAPPING,,,
