BO;Attribute;ARM Element;Source;Rules;Reference path
ActuatedPair;;Actuated_kinematic_pair;;;
;ActuatedPair to ActuatedDirectionEnum (as rx);;;;
;ActuatedPair to ActuatedDirectionEnum (as ry);;;;
;ActuatedPair to ActuatedDirectionEnum (as rz);;;;
;ActuatedPair to ActuatedDirectionEnum (as tx);;;;
;ActuatedPair to ActuatedDirectionEnum (as ty);;;;
;ActuatedPair to ActuatedDirectionEnum (as tz);;;;
HighOrderKinematicPair;;High_order_kinematic_pair;;;
;HighOrderKinematicPair to Curve (as curveOrSurface1);;;;
;HighOrderKinematicPair to Surface (as curveOrSurface1);;;;
;HighOrderKinematicPair to Curve (as curveOrSurface2);;;;
;HighOrderKinematicPair to Surface (as curveOrSurface2);;;;
;HighOrderKinematicPair to HighOrderKinematicPairTypeEnum (as kind);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitPitch);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitRoll);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitYaw);;;;
;HighOrderKinematicPair to ExternalGeometricModel (as model1);;;;
;HighOrderKinematicPair to ExternalGeometricModel (as model2);;;;
;orientation;;;;
;HighOrderKinematicPair to RectangularTrimmedSurface (as range1);;;;
;HighOrderKinematicPair to TrimmedCurve (as range1);;;;
;HighOrderKinematicPair to RectangularTrimmedSurface (as range2);;;;
;HighOrderKinematicPair to TrimmedCurve (as range2);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as upperLimitPitch);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as upperLimitRoll);;;;
;HighOrderKinematicPair to PlaneAngleMeasure (as upperLimitYaw);;;;
InterpolatedConfigurationModel;;Interpolated_configuration_representation;;;
;InterpolatedConfigurationModel to InterpolatedConfigurationSequence (as items);;;;
;InterpolatedConfigurationModel to Unit (as parameterUnit);;;;
InterpolatedConfigurationSegment;;Interpolated_configuration_segment;;;
;InterpolatedConfigurationSegment to InterpolationTypeEnum (as interpolation);;;;
;InterpolatedConfigurationSegment to MechanismState (as state);;;;
;InterpolatedConfigurationSegment to ParameterValue (as tParameter);;;;
InterpolatedConfigurationSequence;;Interpolated_configuration_sequence;;;
;InterpolatedConfigurationSequence to InterpolatedConfigurationSegment (as segments);;;;
KinematicLink;;Kinematic_link_representation;;;
;KinematicLink to AxisPlacement (as items);;;;
;KinematicLink to ExternalGeometricModel (as ofModel);;;;
KinematicLinkToOccurrenceAssociation;;Context_dependent_kinematic_link_representation;;;
;KinematicLinkToOccurrenceAssociation to KinematicLink (as associatedLink);;;;
;KinematicLinkToOccurrenceAssociation to AssemblyOccurrenceRelationship (as associatedTo);;;;
KinematicMechanismAssociation;;Kinematic_property_mechanism_representation;;;
;KinematicMechanismAssociation to Mechanism (as associatedMechanism);;;;
;KinematicMechanismAssociation to AssemblyDefinition (as associatedTo);;;;
;KinematicMechanismAssociation to KinematicLink (as baseLink);;;;
KinematicPair;;Kinematic_pair;;;
;KinematicPair to ActuatedPair (as actuation);;;;
;KinematicPair to KinematicLink (as link1);;;;
;KinematicPair to KinematicLink (as link2);;;;
;KinematicPair to AxisPlacement (as pairFrame1);;;;
;KinematicPair to AxisPlacement (as pairFrame2);;;;
KinematicPairValue;;Pair_value;;;
;KinematicPairValue to PointOnCurve (as actualPointOnCurve1);;;;
;KinematicPairValue to PointOnCurve (as actualPointOnCurve2);;;;
;KinematicPairValue to PointOnSurface (as actualPointOnSurface1);;;;
;KinematicPairValue to PointOnSurface (as actualPointOnSurface2);;;;
;KinematicPairValue to RotationAboutAxes (as actualRotation);;;;
;KinematicPairValue to RotationAboutDirection (as actualRotation);;;;
;KinematicPairValue to TranslationAlongAxes (as actualTranslation);;;;
;KinematicPairValue to KinematicPair (as appliesToPair);;;;
LowOrderKinematicPair;;Low_order_kinematic_pair;;;
;LowOrderKinematicPair to LowOrderKinematicPairTypeEnum (as kind);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as lowerLimitActualRotationX);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as lowerLimitActualRotationY);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as lowerLimitActualRotationZ);;;;
;LowOrderKinematicPair to LengthMeasure (as lowerLimitActualTranslationX);;;;
;LowOrderKinematicPair to LengthMeasure (as lowerLimitActualTranslationY);;;;
;LowOrderKinematicPair to LengthMeasure (as lowerLimitActualTranslationZ);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as upperLimitActualRotationX);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as upperLimitActualRotationY);;;;
;LowOrderKinematicPair to PlaneAngleMeasure (as upperLimitActualRotationZ);;;;
;LowOrderKinematicPair to LengthMeasure (as upperLimitActualTranslationX);;;;
;LowOrderKinematicPair to LengthMeasure (as upperLimitActualTranslationY);;;;
;LowOrderKinematicPair to LengthMeasure (as upperLimitActualTranslationZ);;;;
LowOrderKinematicPairWithMotionCoupling;;Low_order_kinematic_pair_with_motion_coupling;;;
;LowOrderKinematicPairWithMotionCoupling to PlaneAngleMeasure (as bevel);;;;
;gearRatio;;;;
;LowOrderKinematicPairWithMotionCoupling to PlaneAngleMeasure (as helicalAngle);;;;
;LowOrderKinematicPairWithMotionCoupling to LowOrderKinematicPairWithMotionCouplingTypeEnum (as kind);;;;
;LowOrderKinematicPairWithMotionCoupling to PlaneAngleMeasure (as lowerLimitActualRotation);;;;
;LowOrderKinematicPairWithMotionCoupling to LengthMeasure (as lowerLimitRackDisplacement);;;;
;LowOrderKinematicPairWithMotionCoupling to LengthMeasure (as pitch);;;;
;LowOrderKinematicPairWithMotionCoupling to LengthMeasure (as radius1);;;;
;LowOrderKinematicPairWithMotionCoupling to LengthMeasure (as radius2);;;;
;LowOrderKinematicPairWithMotionCoupling to PlaneAngleMeasure (as upperLimitActualRotation);;;;
;LowOrderKinematicPairWithMotionCoupling to LengthMeasure (as upperLimitRackDisplacement);;;;
Mechanism;;Mechanism_representation;;;
;Mechanism to KinematicPair (as items);;;;
MechanismState;;Mechanism_state_representation;;;
;MechanismState to KinematicPairValue (as items);;;;
;MechanismState to Mechanism (as representedMechanism);;;;
MotionModelAssociation;;Kinematic_property_definition_representation;;;
;MotionModelAssociation to InterpolatedConfigurationModel (as associatedModel);;;;
;MotionModelAssociation to LinkMotionAlongPath (as associatedModel);;;;
;MotionModelAssociation to AssemblyDefinition (as associatedTo);;;;
RectangularTrimmedSurface;;Trimmed_surface;;;
RotationAboutDirection;;Rotation_about_direction;;;
;RotationAboutDirection to Direction (as directionOfAxis);;;;
;RotationAboutDirection to PlaneAngleMeasure (as rotationAngle);;;;
ToolAttachmentPointFrame;;Tool_attachment_point_frame;;;
ToolCentrePointFrame;;Tool_centre_point_frame;;;
TrimmedCurve;;Trimmed_curve;;;
