BO,Attribute,ARM Element,Source,Rules,Reference path
CircularPath,,Circular_path,,,
,CircularPath to CartesianPoint (as viaPoint),PATH,,,"Circular_path.via_point ->
Cartesian_point"
KinematicPathDefinedByNodes,,Kinematic_path_defined_by_nodes,,,
,KinematicPathDefinedByNodes to AxisPlacement (as placementStart),PATH,,,"Kinematic_path_defined_by_nodes.placement_start ->
Axis_placement"
,KinematicPathDefinedByNodes to PathSegment (as segments),PATH,,,"Kinematic_path_defined_by_nodes.segments[1] ->
Path_node"
,tStart,PATH,,,"Kinematic_path_defined_by_nodes <=
Kinematic_path.t_start -> parameter_value
parameter_value = real"
LinearPath,,Linear_path,,,
LinkMotionAlongPath,,Link_motion_representation_along_path,,,
,LinkMotionAlongPath to KinematicPathDefinedByNodes (as items),PATH,,,"Link_motion_representation_along_path <=
Representation.items ->
kinematic_path"
,LinkMotionAlongPath to Unit (as timeUnit),PATH,,,"Link_motion_representation_along_path <=
Representation.context_of_items ->
Geometric_representation_context_with_parameter.parameter_unit ->
unit"
LinkMotionDecompositionRelationship,,Link_motion_relationship,,,"{[Link_motion_relationship <=
geometric_model_relationship.rep_1 ->
link_or_shape_representation = Geometric_model
Geometric_model <=
Representation =>
Link_motion_representation_along_path]
[Link_motion_relationship <=
geometric_model_relationship.rep_2 ->
link_or_shape_representation = Geometric_model
Geometric_model <=
Representation =>
Link_motion_representation_along_path]}"
,LinkMotionDecompositionRelationship to Classification (as classifiedAs),NO MAPPING,,,
,LinkMotionDecompositionRelationship to CharacterString (as description),PATH,,,"Link_motion_relationship <=
Definitional_representation_relationship <=
Representation_relationship.description"
,LinkMotionDecompositionRelationship to Descriptor (as description),tbd- add to assigned_name_select?,,,
,LinkMotionDecompositionRelationship to DescriptorSet (as description),NO MAPPING,,,
,LinkMotionDecompositionRelationship to LocalizedString (as description),tbd-add to string_select?,,,
,LinkMotionDecompositionRelationship to TranslatedStringSet (as description),tbd-add to string_select?,,,
,LinkMotionDecompositionRelationship to Identifier (as id),NO MAPPING,,,
,LinkMotionDecompositionRelationship to IdentifierSet (as id),NO MAPPING,,,
,LinkMotionDecompositionRelationship to IdentifierString (as id),NO MAPPING,,,
,LinkMotionDecompositionRelationship to LinkMotionAlongPath (as related),PATH,,,"Link_motion_relationship <=
geometric_model_relationship.rep_1 ->
link_or_shape_representation = Geometric_model
Geometric_model <=
Representation =>
Link_motion_representation_along_path"
,LinkMotionDecompositionRelationship to LinkMotionAlongPath (as relating),PATH,,,"Link_motion_relationship <=
geometric_model_relationship.rep_2 ->
link_or_shape_representation = Geometric_model
Geometric_model <=
Representation =>
Link_motion_representation_along_path"
LinkMotionRelationship,,Link_motion_relationship,,,
,LinkMotionRelationship to Classification (as classifiedAs),,,,
,LinkMotionRelationship to CharacterString (as description),PATH,,,"Link_motion_relationship <=
Definitional_representation_relationship <=
Representation_relationship.description"
,LinkMotionRelationship to Descriptor (as description),tbd- add to assigned_name_select?,,,
,LinkMotionRelationship to DescriptorSet (as description),NO MAPPING,,,
,LinkMotionRelationship to LocalizedString (as description),tbd-add to string_select?,,,
,LinkMotionRelationship to TranslatedStringSet (as description),tbd-add to string_select?,,,
,LinkMotionRelationship to Identifier (as id),NO MAPPING,,,
,LinkMotionRelationship to IdentifierSet (as id),NO MAPPING,,,
,LinkMotionRelationship to IdentifierString (as id),NO MAPPING,,,
,LinkMotionRelationship to ExternalGeometricModel (as related),PATH,,,"Link_motion_relationship <=
geometric_model_relationship.rep_1 ->
link_or_shape_representation = Geometric_model
Geometric_model =>
External_geometric_model"
,LinkMotionRelationship to LinkMotionAlongPath (as relating),PATH,,,"Link_motion_relationship <=
geometric_model_relationship.rep_2 ->
link_or_shape_representation = Geometric_model
Geometric_model <=
Representation =>
Link_motion_representation_along_path"
,LinkMotionRelationship to Class (as relationType),NO MAPPING,,,
,LinkMotionRelationship to ClassString (as relationType),PATH,,,"Link_motion_relationship <=
Definitional_representation_relationship <=
Representation_relationship.relation_type"
,LinkMotionRelationship to ExternalClass (as relationType),NO MAPPING,,,
,LinkMotionRelationship to ExternalOwlClass (as relationType),NO MAPPING,,,
,LinkMotionRelationship to LinkMotionTransformation (as tranformationOperator),PATH,,,"Link_motion_relationship.transformation_operator ->
Link_motion_transformation"
LinkMotionTransformation,,Link_motion_transformation,,,
,LinkMotionTransformation to AxisPlacement (as transformItem1),PATH,,,"Link_motion_transformation.transform_item_1 ->
rigid_placement = Axis_placement_3d"
,LinkMotionTransformation to KinematicPathDefinedByNodes (as transformItem2),PATH,,,"Link_motion_transformation.transform_item_2 ->
Kinematic_parth =>
Kinematic_path_defined_by_nodes"
PathSegment,,Path_node,,,
,PathSegment to AxisPlacement (as placementEnd),PATH,,,"Path_node.placement_end ->
Axis_placement"
,tEnd,PATH,,,"Path_node <=
Kinematic_path_segment.t_end"
,PathSegment to TransitionCodeEnum (as transition),PATH,,,"Path_node <=
Kinematic_path_segment.transition ->
curve_transition_code"
PointToPointPath,,Point_to_point_path,,,
