"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"CoatingLayer";"";"Coating_layer";"";"";""
"SurfaceCondition";"";"Surface_condition";"";"";""
"";"SurfaceCondition to AssemblyViewRelationship (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Item_shape
Item_shape.described_element ->
shapeable_item = /MAPPING_OF(AssemblyViewRelationship)/"
"";"SurfaceCondition to BreakdownElementView (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Item_shape
Item_shape.described_element ->
shapeable_item = /MAPPING_OF(BreakdownElementView)/"
"";"SurfaceCondition to IndividualPartView (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Item_shape
Item_shape.described_element ->
shapeable_item = /MAPPING_OF(IndividualPartView)/"
"";"SurfaceCondition to Occurrence (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Item_shape
Item_shape.described_element ->
shapeable_item = /MAPPING_OF(Occurrence)/"
"";"SurfaceCondition to PartView (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Item_shape
Item_shape.described_element ->
shapeable_item = /MAPPING_OF(PartView)/"
"";"SurfaceCondition to ShapeElement (as assignedTo)";"";"PATH";"";"Surface_condition.described_element ->
shaped_element_select = Shape_element"
"";"SurfaceCondition to ClassString (as conditionType)";"";"NO MAPPING";"";""
"";"SurfaceCondition to DigitalFile (as definedIn)";"";"NO MAPPING";"";""
"";"SurfaceCondition to Identifier (as id)";"";"NO MAPPING";"";""
"";"SurfaceCondition to IdentifierSet (as id)";"";"NO MAPPPING";"";""
"";"SurfaceCondition to IdentifierString (as id)";"";"PATH";"";"Surface_condition <=
Assigned_shape_property <=
Assigned_property.id"
