BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
ApplicationDomain;;NO MAPPING;;;;ARM Element should be Application_domain;Application_domain not in the modules (1019)
;ApplicationDomain to ExternalItem (as sameAs);NO MAPPING;;;;;"Application_domain
/sameAs_AS_ExternalItem(Application_domain)/"
;ApplicationDomain to ExternalOwlObject (as sameAs);NO MAPPING;;;;;"Application_domain
/sameAs_AS_ExternalOWLObject(Application_domain)/"
;ApplicationDomain to Proxy (as sameAs);NO MAPPING;;;;;"Application_domain
/sameAs_AS_Proxy(Application_domain)/"
;ApplicationDomain to ProxyString (as sameAs);NO MAPPING;;;;;"Application_domain
/sameAs_AS_ProxyString(Application_domain)/"
LifeCycleStage;;NO MAPPING;;;;ARM Element should be Life_cycle_stage;Life_cycle_stage not in the modules
;LifeCycleStage to ExternalItem (as sameAs);NO MAPPING;;;;;"Life_cycle_stage
/sameAs_AS_ExternalItem(Life_cycle_stage)/"
;LifeCycleStage to ExternalOwlObject (as sameAs);NO MAPPING;;;;;"Life_cycle_stage
/sameAs_AS_ExternalOWLObject(Life_cycle_stage)/"
;LifeCycleStage to Proxy (as sameAs);NO MAPPING;;;;;"Life_cycle_stage
/sameAs_AS_Proxy(Life_cycle_stage)/"
;LifeCycleStage to ProxyString (as sameAs);NO MAPPING;;;;;"Life_cycle_stage
/sameAs_AS_ProxyString(Life_cycle_stage)/"
PartView;;Part_view_definition;442;;"{Part_view_definition <=
Product_view_definition}";;
;PartView to ViewContext (as additionalContexts);Product_view_definition.additional_contexts[i];442;;"Part_view_definition <=
Product_view_definition <=
Product_view_definition.additional_contexts[i]";;
;PartView to Classification (as classifiedAs);PATH;;;"Part_view_definition <=
Product_view_definition
/classifiedAs_AS_Classification(Product_view_definition)/";;
;PartView to GeometricModel (as definingGeometry);PATH;;;"/MAPPING_OF(PartView)/ <-
shapeable_item = /MAPPING_OF(PartView)/
shapeable_item <-
Item_shape.described_element
Item_shape <=
Associated_item_shape <-
Shape_description_association.definition
Shape_description_association
Shape_description_association.used_representation ->
shape_model
shape_model = Geometric_model
Geometric_model";;
;PartView to CharacterString (as description);Product_view_definition.additional_characterization;442;;;;
;PartView to Descriptor (as description);PATH;;;"Part_view_definition <=
Product_view_definition
/description_AS_Descriptor(Product_view_definition)/";;
