BO,Attribute,ARM Element,Source,Rules,Reference path
ProcessOperationDefinition,,Process_operation_definition,,,
,ProcessOperationDefinition to Classification (as classifiedAs),NO MAPPING,,,
,ProcessOperationDefinition to CharacterString (as description),Process_operation_definition.description,,,
,ProcessOperationDefinition to Descriptor (as description),NO MAPPING,,,
,ProcessOperationDefinition to DescriptorSet (as description),NO MAPPING,,,
,ProcessOperationDefinition to LocalizedString (as description),tbd add to string_select,,,
,ProcessOperationDefinition to TranslatedStringSet (as description),tbd add to string_select,,,
,ProcessOperationDefinition to Identifier (as id),NO MAPPING,,,
,ProcessOperationDefinition to IdentifierSet (as id),NO MAPPING,,,
,ProcessOperationDefinition to IdentifierString (as id),Process_operation_definition.id,,,
,ProcessOperationDefinition to CharacterString (as name),Process_operation_definition.name,,,
,ProcessOperationDefinition to Descriptor (as name),NO MAPPING,,,
,ProcessOperationDefinition to DescriptorSet (as name),NO MAPPING,,,
,ProcessOperationDefinition to LocalizedString (as name),tbd add to string_select,,,
,ProcessOperationDefinition to TranslatedStringSet (as name),tbd add to string_select,,,
,ProcessOperationDefinition to Class (as processType),NO MAPPING
,ProcessOperationDefinition to ClassString (as processType),Process_operation_definition.process_type
,ProcessOperationDefinition to ExternalClass (as processType),NO MAPPING
,ProcessOperationDefinition to ExternalOwlClass (as processType),NO MAPPING
,ProcessOperationDefinition to Identifier (as versionId),NO MAPPING
,ProcessOperationDefinition to IdentifierSet (as versionId),NO MAPPING
,ProcessOperationDefinition to IdentifierString (as versionId),Process_operation_definition.version_id
ProcessOperationDefinitionRelationship,,Process_operation_definition_relationship
,ProcessOperationDefinitionRelationship to Classification (as classifiedAs),NO MAPPING
,ProcessOperationDefinitionRelationship to CharacterString (as description),Process_operation_definition_relationship.description
,ProcessOperationDefinitionRelationship to Descriptor (as description),NO MAPPING
,ProcessOperationDefinitionRelationship to DescriptorSet (as description),NO MAPPING
,ProcessOperationDefinitionRelationship to LocalizedString (as description),tbd add to string_select
,ProcessOperationDefinitionRelationship to TranslatedStringSet (as description),tbd add to string_select
,ProcessOperationDefinitionRelationship to Identifier (as id),NO MAPPING
,ProcessOperationDefinitionRelationship to IdentifierSet (as id),NO MAPPING
,ProcessOperationDefinitionRelationship to IdentifierString (as id),NO MAPPING,,,
,ProcessOperationDefinitionRelationship to ProcessOperationDefinition (as related),PATH,,,"Process_operation_definition_relationship.related ->
Process_operation_definition"
,ProcessOperationDefinitionRelationship to ProcessOperationDefinition (as relating),PATH,,,"Process_operation_definition_relationship.relating ->
Process_operation_definition"
,ProcessOperationDefinitionRelationship to Class (as relationType),NO MAPPING,,,
,ProcessOperationDefinitionRelationship to ClassString (as relationType),Process_operation_definition_relationship.relation_type,,,
,ProcessOperationDefinitionRelationship to ExternalClass (as relationType),NO MAPPING,,,
,ProcessOperationDefinitionRelationship to ExternalOwlClass (as relationType),NO MAPPING,,,
ProcessOperationInputOrOutput,,Process_operation_input_or_output,,,
,ProcessOperationInputOrOutput to Classification (as classifiedAs),NO MAPPING,,,
,ProcessOperationInputOrOutput to ShapeElement (as concernedShapes),NO MAPPING,,,
,ProcessOperationInputOrOutput to CharacterString (as description),Process_operation_input_or_output.description,,,
,ProcessOperationInputOrOutput to Descriptor (as description),NO MAPPING,,,
,ProcessOperationInputOrOutput to DescriptorSet (as description),NO MAPPING,,,
,ProcessOperationInputOrOutput to LocalizedString (as description),tbd add to string_select,,,
,ProcessOperationInputOrOutput to TranslatedStringSet (as description),tbd add to string_select,,,
,ProcessOperationInputOrOutput to AssemblyOccurrenceRelationship (as element),PATH,,,"Process_operation_input_or_output.element ->
process_operation_input_or_output_select = Assembly_component_relationship
Assembly_component_relationship"
,ProcessOperationInputOrOutput to AssemblyViewRelationship (as element),PATH,,,"Process_operation_input_or_output.element ->
process_operation_input_or_output_select = Assembly_component_relationship
Assembly_component_relationship"
,ProcessOperationInputOrOutput to Occurrence (as element),PATH,,,"Process_operation_input_or_output.element ->
process_operation_input_or_output_select = Product_occurrence
Product_occurrence"
,ProcessOperationInputOrOutput to PartVersion (as element),PATH,,,"Process_operation_input_or_output.element ->
process_operation_input_or_output_select = Part_view_definition
Part_view_definition.defined_version ->
Part_version"
,ProcessOperationInputOrOutput to ProcessOperationOccurrence (as operation),PATH,,,"Process_operation_input_or_output.operation ->
process_operation_occurrence"
,ProcessOperationInputOrOutput to GeometricRepresentationRelationshipWithPlacementTransformation (as placement),NO MAPPING,,,
,ProcessOperationInputOrOutput to Class (as role),NO MAPPING,,,
,ProcessOperationInputOrOutput to ClassString (as role),Process_operation_input_or_output.role,,,
,ProcessOperationInputOrOutput to ExternalClass (as role),NO MAPPING,,,
,ProcessOperationInputOrOutput to ExternalOwlClass (as role),NO MAPPING,,,
ProcessOperationOccurrence,,Process_operation_occurrence,,,
,ProcessOperationOccurrence to Classification (as classifiedAs),NO MAPPING,,,
,ProcessOperationOccurrence to GeometricCoordinateSpace (as definedIn),NO MAPPING,,,
,ProcessOperationOccurrence to ProcessOperationDefinition (as definition),PATH,,,"Process_operation_occurrence.operation_definition ->
process_operation_definition"
,ProcessOperationOccurrence to CharacterString (as description),NO MAPPING,,,
,ProcessOperationOccurrence to Descriptor (as description),NO MAPPING,,,
,ProcessOperationOccurrence to DescriptorSet (as description),NO MAPPING,,,
,ProcessOperationOccurrence to LocalizedString (as description),NO MAPPING,,,
,ProcessOperationOccurrence to TranslatedStringSet (as description),NO MAPPING,,,
,ProcessOperationOccurrence to Identifier (as id),NO MAPPING,,,
,ProcessOperationOccurrence to IdentifierSet (as id),NO MAPPING,,,
,ProcessOperationOccurrence to IdentifierString (as id),Process_operation_occurrence.id,,,
,ProcessOperationOccurrence to ProcessPlan (as plan),PATH,,,"Process_operation_occurrence.plan ->
Process_plan"
ProcessOperationOccurrenceRelationship,,Process_operation_occurrence_relationship,,,
,ProcessOperationOccurrenceRelationship to Classification (as classifiedAs),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to Duration (as cycleTime),PATH,,,"Process_operation_occurrence_relationship.cycle_time ->
Duration"
,ProcessOperationOccurrenceRelationship to CharacterString (as description),Process_operation_occurrence_relationship.description,,,
,ProcessOperationOccurrenceRelationship to Descriptor (as description),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to DescriptorSet (as description),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to LocalizedString (as description),tbd add to string_select,,,
,ProcessOperationOccurrenceRelationship to TranslatedStringSet (as description),tbd add to string_select,,,
,ProcessOperationOccurrenceRelationship to Identifier (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to IdentifierSet (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to IdentifierString (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to ProcessOperationOccurrence (as related),PATH,,,"Process_operation_occurrence_relationship.related ->
Process_operation_occurrence"
,ProcessOperationOccurrenceRelationship to ProcessOperationOccurrence (as relating),PATH,,,"Process_operation_occurrence_relationship.relating ->
Process_operation_occurrence"
,ProcessOperationOccurrenceRelationship to Class (as relationType),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to ClassString (as relationType),Process_operation_occurrence_relationship.relation_type,,,
,ProcessOperationOccurrenceRelationship to ExternalClass (as relationType),,,,
,ProcessOperationOccurrenceRelationship to ExternalOwlClass (as relationType),,,,
,ProcessOperationOccurrenceRelationship to PropertyValue (as waitingTime),,,,
ProcessOperationResourceAssignment,,Process_operation_resource_assignment,,,
,ProcessOperationResourceAssignment to BreakdownElement (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Breakdown_element_definition
Breakdown_element_definition"
,ProcessOperationResourceAssignment to IndividualPartView (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Product_as_individual_view
Product_as_individual_view"
,ProcessOperationResourceAssignment to Occurrence (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Product_occurrence
Product_occurrence"
,ProcessOperationResourceAssignment to PartVersion (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Part_view_definition
Part_view_definition.defined_version ->
Part_version"
