BO;Attribute;ARM Element;Source;Rules;Reference path
AssemblyJoint;;Assembly_joint;;;
;AssemblyJoint to AssemblyDefinition (as assemblyShape);PATH;;;"Assembly_joint.associated_assembly ->
Assembly_shape.described_element ->
Assembly_definition"
;AssemblyJoint to Classification (as classifiedAs);NO MAPPING;;;
;AssemblyJoint to CharacterString (as description);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element_relationship.description"
;AssemblyJoint to Descriptor (as description);NO MAPPING;;;
;AssemblyJoint to DescriptorSet (as description);NO MAPPING;;;
;AssemblyJoint to LocalizedString (as description);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element_relationship
string_select = Shape_element_relationship
string_select <-
Language_indication.considered_instance
Language_indication
Language_indication.considered_attribute='description'}"""
;AssemblyJoint to TranslatedStringSet (as description);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element_relationship
string_select = Shape_element_relationship
string_select <-
attribute_translation_assignment.considered_instance
attribute_translation_assignment
{attribute_translation_assignment.considered_attribute = 'description'}"
;AssemblyJoint to Identifier (as id);NO MAPPING;;;
;AssemblyJoint to IdentifierSet (as id);NO MAPPING;;;
;AssemblyJoint to IdentifierString (as id);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element.id"
;AssemblyJoint to CharacterString (as name);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element.element_name"
;AssemblyJoint to Descriptor (as name);NO MAPPING;;;
;AssemblyJoint to DescriptorSet (as name);NO MAPPING;;;
;AssemblyJoint to LocalizedString (as name);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element_relationship
string_select = Shape_element
string_select <-
Language_indication.considered_instance
Language_indication
Language_indication.considered_attribute='element_name'}"""
;AssemblyJoint to TranslatedStringSet (as name);PATH;;;"Assembly_joint <=
Component_feature_joint <=
Component_feature_relationship <=
Shape_element_relationship
string_select = Shape_element
string_select <-
attribute_translation_assignment.considered_instance
attribute_translation_assignment
{attribute_translation_assignment.considered_attribute = 'element_name'}"
;AssemblyJoint to ShapeElement (as shapeElement1);PATH;;;"Assembly_joint.assembly_feature_1 ->
Physical_component_feature <=
Component_feature <=
Definitional_shape_element <=
shape_element"
;AssemblyJoint to ShapeElement (as shapeElement2);PATH;;;"Assembly_joint.assembly_feature_1 ->
Physical_component_feature <=
Component_feature <=
Definitional_shape_element <=
shape_element"
MakeFromRelationship;;Make_from_relationship;;;
;priority;Make_from_relationship.priority;;;
;MakeFromRelationship to ValueWithUnit (as quantity);PATH;;;"Make_from_relationship.quantity ->
Value_with_unit"
;MakeFromRelationship to ClassString (as relationType);PATH;;;"Make_from_relationship <=
View_definition_usage <=
View_definition_relationship.relation_type"
MatedPartAssociation;;Assembled_part_association;;;
;MatedPartAssociation to MatingDefinition (as relating);NO MAPPING;;;
MatedPartRelationship;;Mated_part_relationship;;;
;MatedPartRelationship to Classification (as classifiedAs);NO MAPPING;;;
;MatedPartRelationship to CharacterString (as description);NO MAPPING;;;
;MatedPartRelationship to Descriptor (as description);NO MAPPING;;;
;MatedPartRelationship to DescriptorSet (as description);NO MAPPING;;;
;MatedPartRelationship to LocalizedString (as description);NO MAPPING;;;
;MatedPartRelationship to TranslatedStringSet (as description);NO MAPPING;;;
;MatedPartRelationship to Identifier (as id);NO MAPPING;;;
;MatedPartRelationship to IdentifierSet (as id);NO MAPPING;;;
;MatedPartRelationship to IdentifierString (as id);NO MAPPING;;;
;MatedPartRelationship to AssemblyJoint (as matedShapes);PATH;;;"Mated_part_relationship.mating_joints ->
Assembly_joint"
;MatedPartRelationship to QuantifiedOccurrence (as matingMaterials);PATH;;;"Mated_part_relationship.mating_materials ->
Definition_based_product_occurrence <=
Product_occurrence =>
Product_occurrence_with_quantity"
;MatedPartRelationship to MatingTypeEnum (as matingType);Mated_part_relationship.mating_types;;;
;MatedPartRelationship to MatedPartAssociation (as related);PATH;;;"Mated_part_relationship.related ->
Assembled_part_association"
;MatedPartRelationship to MatedPartAssociation (as relating);PATH;;;"Mated_part_relationship.relating ->
Assembled_part_association"
MatingDefinition;;NO MAPPING;;;
;MatingDefinition to Class (as matingType);NO MAPPING;;;
;MatingDefinition to ClassString (as matingType);NO MAPPING;;;
;MatingDefinition to ExternalClass (as matingType);NO MAPPING;;;
;MatingDefinition to ExternalOwlClass (as matingType);NO MAPPING;;;
ProcessStateRelationship;;Process_state_relationship;;;
;ProcessStateRelationship to ClassString (as relationType);PATH;;;"Process_state_relationship <=
Part_definition_relationship <=
View_definition_relationship.relation_type"
SameTimeMachiningRelationship;;Same_time_machining_relationship;;;
;SameTimeMachiningRelationship to CartesianTransformation (as placement);NO MAPPING;;;
;SameTimeMachiningRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement);NO MAPPING;;;
;SameTimeMachiningRelationship to ClassString (as relationType);PATH;;;"Same_time_machining_relationship <=
Part_occurrence_relationship <=
View_definition_relationship.relation_type"
ToolPartRelationship;;NO MAPPING;;;
;ToolPartRelationship to CartesianTransformation (as placement);NO MAPPING;;;
;ToolPartRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement);NO MAPPING;;;
;ToolPartRelationship to ClassString (as relationType);NO MAPPING;;;
