BO;Attribute;ARM Element;Source;Rules;Reference path
AssemblyRealizationContext;;;ISSUE PENDING - Bugzilla #4938;;
;AssemblyRealizationContext to Classification (as classifiedAs);;;;
;AssemblyRealizationContext to CharacterString (as description);;;;
;AssemblyRealizationContext to Descriptor (as description);;;;
;AssemblyRealizationContext to DescriptorSet (as description);;;;
;AssemblyRealizationContext to LocalizedString (as description);;;;
;AssemblyRealizationContext to TranslatedStringSet (as description);;;;
;AssemblyRealizationContext to AssemblyViewRelationship (as related);;;;
;AssemblyRealizationContext to Occurrence (as related);;;;
;AssemblyRealizationContext to IndividualAssemblyRelationship (as relating);;;;
IndividualAssemblyRelationship;;Product_as_individual_assembly;ISO 10303-442;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship"
;IndividualAssemblyRelationship to Classification (as classifiedAs);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/classifiedAs_AS_Classification(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to CharacterString (as description);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/description_AS_Descriptor(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to Descriptor (as description);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/description_AS_Descriptor(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to DescriptorSet (as description);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/description_AS_DescriptorSet(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to LocalizedString (as description);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/description_AS_LocalizedString(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to TranslatedStringSet (as description);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/description_AS_TranslatedStringSet(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to Identifier (as id);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/id_AS_Identifier(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to IdentifierSet (as id);PATH;;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/id_AS_IdentifierSet(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to IdentifierString (as id);PATH;ISO 10303-442;;"Product_as_individual_assembly <=
Assembly_component_relationship <=
Product_occurrence_definition_relationship
/id_AS_Identifier(Product_occurrence_definition_relationship)/"
;IndividualAssemblyRelationship to IndividualPartView (as related);PATH;;;"Product_as_individual_assembly
Product_as_individual_assembly.related_view ->
Product_as_individual_view"
;IndividualAssemblyRelationship to IndividualPartView (as relating);PATH;;;"Product_as_individual_assembly
Product_as_individual_assembly.relating_view ->
Product_as_individual_view"
;IndividualAssemblyRelationship to ClassString (as relationType);PATH;;;"Product_as_individual_assembly <= 
Assembly_component_relationship
classification_item = Assembly_component_relationship
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class
Class.name"
IndividualPart;;Product_as_individual;ISO 10303-442;;"Product_as_individual <=
Product"
;IndividualPart to Classification (as classifiedAs);PATH;;;"Product_as_individual <=
Product
/classifiedAs_AS_Classification(Product)/"
;IndividualPart to CharacterString (as description);Product.description;ISO 10303-442;;"Product_as_individual <=
Product
Product.description"
;IndividualPart to Descriptor (as description);PATH;;;"Product_as_individual <=
Product
/description_AS_Descriptor(Product)/"
;IndividualPart to DescriptorSet (as description);PATH;;;"Product_as_individual <=
Product
/description_AS_DescriptorSet(Product)/"
;IndividualPart to LocalizedString (as description);PATH;;;"Product_as_individual <=
Product
/description_AS_LocalizedString(Product)/"
;IndividualPart to TranslatedStringSet (as description);PATH;;;"Product_as_individual <=
Product
/description_AS_TranslatedStringSet(Product)/"
;IndividualPart to Identifier (as id);PATH;;;"Product_as_individual <=
Product
/id_AS_Identifier(Product)/"
;IndividualPart to IdentifierSet (as id);PATH;;;"Product_as_individual <=
Product
/id_AS_IdentifierSet(Product)/"
;IndividualPart to IdentifierString (as id);Product.id;ISO 10303-442;;"Product_as_individual <=
Product
Product.id"
;IndividualPart to CharacterString (as name);Product.name;ISO 10303-442;;"Product_as_individual <=
Product
Product.name"
;IndividualPart to Descriptor (as name);PATH;;;"Product_as_individual <=
Product
/name_AS_Descriptor(Product)/"
;IndividualPart to DescriptorSet (as name);PATH;;;"Product_as_individual <=
Product
/name_AS_DescriptorSet(Product)/"
;IndividualPart to LocalizedString (as name);PATH;;;"Product_as_individual <=
Product
/name_AS_LocalizedString(Product)/"
;IndividualPart to TranslatedStringSet (as name);PATH;;;"Product_as_individual <=
Product
/name_AS_TranslatedStringSet(Product)/"
;IndividualPart to ExternalItem (as sameAs);PATH;;;"Product_as_individual <=
Product
/sameAs_AS_ExternalItem(Product)/"
;IndividualPart to ExternalOwlObject (as sameAs);PATH;;;"Product_as_individual <=
Product
/sameAs_AS_ExternalOWLObject(Product)/"
;IndividualPart to Proxy (as sameAs);PATH;;;"Product_as_individual <=
Product
/sameAs_AS_Proxy(Product)/"
;IndividualPart to ProxyString (as sameAs);PATH;;;"Product_as_individual <=
Product
/sameAs_AS_ProxyString(Product)/"
;IndividualPart to IndividualPartVersion (as versions);PATH;;;"Product_as_individual <- 
Product_as_individual_version.of_product
Product_as_individual_version"
IndividualPartRelationship;;;NO MAPPING - Bugzilla #4934 ;;
;IndividualPartRelationship to Classification (as classifiedAs);;;;
;IndividualPartRelationship to CharacterString (as description);;;;
;IndividualPartRelationship to Descriptor (as description);;;;
;IndividualPartRelationship to DescriptorSet (as description);;;;
;IndividualPartRelationship to LocalizedString (as description);;;;
;IndividualPartRelationship to TranslatedStringSet (as description);;;;
;IndividualPartRelationship to Identifier (as id);;;;
;IndividualPartRelationship to IdentifierSet (as id);;;;
;IndividualPartRelationship to IdentifierString (as id);;;;
;IndividualPartRelationship to IndividualPart (as related);;;;
;IndividualPartRelationship to IndividualPart (as relating);;;;
;IndividualPartRelationship to Class (as relationType);;;;
;IndividualPartRelationship to ClassString (as relationType);;;;
;IndividualPartRelationship to ExternalClass (as relationType);;;;
;IndividualPartRelationship to ExternalOwlClass (as relationType);;;;
IndividualPartVersion;;Product_as_individual_version;ISO 10303-442;;"Product_as_individual_version <=
Product_version"
;IndividualPartVersion to Classification (as classifiedAs);PATH;;;"Product_as_individual_version <=
Product_version
/classifiedAs_AS_Classification(Product_version)/"
;IndividualPartVersion to CharacterString (as description);Product_version.description;ISO 10303-442;;"Product_as_individual_version <=
Product_version
Product_version.description"
;IndividualPartVersion to Descriptor (as description);PATH;;;"Product_as_individual_version <=
Product_version
/description_AS_Descriptor(Product_version)/"
;IndividualPartVersion to DescriptorSet (as description);PATH;;;"Product_as_individual_version <=
Product_version
/description_AS_DescriptorSet(Product_version)/"
;IndividualPartVersion to LocalizedString (as description);PATH;;;"Product_as_individual_version <=
Product_version
/description_AS_LocalizedString(Product_version)/"
;IndividualPartVersion to TranslatedStringSet (as description);PATH;;;"Product_as_individual_version <=
Product_version
/description_AS_TranslatedStringSet(Product_version)/"
;IndividualPartVersion to Identifier (as id);PATH;;;"Product_as_individual_version <=
Product_version
/id_AS_Identifier(Product_version)/"
;IndividualPartVersion to IdentifierSet (as id);PATH;;;"Product_as_individual_version <=
Product_version
/id_AS_IdentifierSet(Product_version)/"
;IndividualPartVersion to IdentifierString (as id);Product_version.id;ISO 10303-442;;"Product_as_individual_version <=
Product_version
Product_version.id"
;IndividualPartVersion to ExternalItem (as sameAs);PATH;;;"Product_as_individual_version <=
Product_version
/sameAs_AS_ExternalItem(Product_version)/"
;IndividualPartVersion to ExternalOwlObject (as sameAs);PATH;;;"Product_as_individual_version <=
Product_version
/sameAs_AS_ExternalOWLObject(Product_version)/"
;IndividualPartVersion to Proxy (as sameAs);PATH;;;"Product_as_individual_version <=
Product_version
/sameAs_AS_Proxy(Product_version)/"
;IndividualPartVersion to ProxyString (as sameAs);PATH;;;"Product_as_individual_version <=
Product_version
/sameAs_AS_ProxyString(Product_version)/"
;IndividualPartVersion to IndividualPartView (as views);PATH;;;"Product_as_individual_version <- 
Product_as_individual_view.defined_version
Product_as_individual_view"
IndividualPartVersionRelationship;;Product_version_relationship;ISO 10303-442;;"Product_version_relationship
{Product_version_relationship.relation_type = 'individual part version relationship'}"
;IndividualPartVersionRelationship to Classification (as classifiedAs);PATH;;;"Product_version_relationship
/classifiedAs_AS_Classification(Product_version_relationship)/"
;IndividualPartVersionRelationship to CharacterString (as description);Product_version_relationship.description;ISO 10303-442;;"Product_version_relationship
Product_version_relationship.description"
;IndividualPartVersionRelationship to Descriptor (as description);PATH;;;"Product_version_relationship
/description_AS_Descriptor(Product_version_relationship)/"
;IndividualPartVersionRelationship to DescriptorSet (as description);PATH;;;"Product_version_relationship
/description_AS_DescriptorSet(Product_version_relationship)/"
;IndividualPartVersionRelationship to LocalizedString (as description);PATH;;;"Product_version_relationship
/description_AS_LocalizedString(Product_version_relationship)/"
;IndividualPartVersionRelationship to TranslatedStringSet (as description);PATH;;;"Product_version_relationship
/description_AS_TranslatedStringSet(Product_version_relationship)/"
;IndividualPartVersionRelationship to Identifier (as id);PATH;;;"Product_version_relationship
/id_AS_Identifier(Product_version_relationship)/"
;IndividualPartVersionRelationship to IdentifierSet (as id);PATH;;;"Product_version_relationship
/id_AS_IdentifierSet(Product_version_relationship)/"
;IndividualPartVersionRelationship to IdentifierString (as id);PATH;;;"Product_version_relationship
/id_AS_Identifier(Product_version_relationship)/"
;IndividualPartVersionRelationship to IndividualPartVersion (as related);PATH;;;"Product_version_relationship
Product_version_relationship.related_version -> 
Product_as_individual_version"
;IndividualPartVersionRelationship to IndividualPartVersion (as relating);PATH;;;"Product_version_relationship
Product_version_relationship.relating_version -> 
Product_as_individual_version"
;IndividualPartVersionRelationship to Class (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_Class(Product_version_relationship, 'relation type')/"
;IndividualPartVersionRelationship to ClassString (as relationType);Product_version_relationship.relation_type;ISO 10303-442;;
;IndividualPartVersionRelationship to ExternalClass (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_ExternalClass(Product_version_relationship, 'relation type')/"
;IndividualPartVersionRelationship to ExternalOwlClass (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_ExternalOwlClass(Product_version_relationship, 'relation type')/"
IndividualPartView;;Product_as_individual_view;ISO 10303-442;;"Product_as_individual_view <=
Product_view_definition"
;IndividualPartView to ViewContext (as additionalContexts);PATH;;;"Product_as_individual_view <=
Product_view_definition
Product_view_definition.additional_contexts[i] ->
/MAPPING_OF(ViewContext)/"
;IndividualPartView to Classification (as classifiedAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/classifiedAs_AS_Classification(Product_view_definition)/"
;IndividualPartView to GeometricModel (as definingGeometry);PATH;;;"Product_as_individual_view <=
Product_view_definition
shapeable_item = Product_view_definition
shapeable_item <-
Item_shape =>
Associated_item_shape <-
Shape_description_association
Shape_description_association.shape_model ->
Geometric_model"
;IndividualPartView to CharacterString (as description);PATH;;;"Product_as_individual_view <=
Product_view_definition
/description_AS_Descriptor(Product_view_definition)/"
;IndividualPartView to Descriptor (as description);PATH;;;"Product_as_individual_view <=
Product_view_definition
/description_AS_Descriptor(Product_view_definition)/"
;IndividualPartView to DescriptorSet (as description);PATH;;;"Product_as_individual_view <=
Product_view_definition
/description_AS_DescriptorSet(Product_view_definition)/"
;IndividualPartView to LocalizedString (as description);PATH;;;"Product_as_individual_view <=
/description_AS_LocalizedString(Product_view_definition)/"
;IndividualPartView to TranslatedStringSet (as description);PATH;;;"Product_as_individual_view <=
Product_view_definition
/description_AS_TranslatedStringSet(Product_view_definition)/"
;IndividualPartView to Identifier (as id);PATH;;;"Product_as_individual_view <=
Product_view_definition
/id_AS_Identifier(Product_view_definition)/"
;IndividualPartView to IdentifierSet (as id);PATH;;;"Product_as_individual_view <=
Product_view_definition
/id_AS_IdentifierSet(Product_view_definition)/"
;IndividualPartView to IdentifierString (as id);Product_view_definition.id;ISO 10303-442;;"Product_as_individual_view <=
Product_view_definition
Product_view_definition.id"
;IndividualPartView to ViewContext (as initialContext);PATH;;;"Requirement_view_definition <=
Product_view_definition
Product_view_definition.initial_context ->
/MAPPING_OF(ViewContext)/"
;IndividualPartView to ExternalItem (as sameAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/sameAs_AS_ExternalItem(Product_view_definition)/"
;IndividualPartView to ExternalOwlObject (as sameAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/sameAs_AS_ExternalOWLObject(Product_view_definition)/"
;IndividualPartView to Proxy (as sameAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/sameAs_AS_Proxy(Product_view_definition)/"
;IndividualPartView to ProxyString (as sameAs);PATH;;;"Product_as_individual_view <=
Product_view_definition
/sameAs_AS_ProxyString(Product_view_definition)/"
IndividualPartViewRelationship;;View_definition_relationship;ISO 10303-442;;"View_definition_relationship
{View_definition_relationship.relation_type = 'individual part view relationship'}"
;IndividualPartViewRelationship to Classification (as classifiedAs);PATH;;;"View_definition_relationship
/classifiedAs_AS_Classification(View_definition_relationship)/"
;IndividualPartViewRelationship to CharacterString (as description);View_definition_relationship.description;ISO 10303-442;;
;IndividualPartViewRelationship to Descriptor (as description);PATH;;;"View_definition_relationship
/description_AS_Descriptor(View_definition_relationship)/"
;IndividualPartViewRelationship to DescriptorSet (as description);PATH;;;"View_definition_relationship
/description_AS_DescriptorSet(View_definition_relationship)/"
;IndividualPartViewRelationship to LocalizedString (as description);PATH;;;"View_definition_relationship
/description_AS_LocalizedString(View_definition_relationship)/"
;IndividualPartViewRelationship to TranslatedStringSet (as description);PATH;;;"View_definition_relationship
/description_AS_TranslatedStringSet(View_definition_relationship)/"
;IndividualPartViewRelationship to Identifier (as id);PATH;;;"View_definition_relationship
/id_AS_Identifier(View_definition_relationship)/"
;IndividualPartViewRelationship to IdentifierSet (as id);PATH;;;"View_definition_relationship
/id_AS_IdentifierSet(View_definition_relationship)/"
;IndividualPartViewRelationship to IdentifierString (as id);View_definition_relationship.id;ISO 10303-442;;
;IndividualPartViewRelationship to IndividualPartView (as related);PATH;;;"View_definition_relationship
View_definition_relationship.related_view -> 
Product_as_individual_view"
;IndividualPartViewRelationship to IndividualPartView (as relating);PATH;;;"View_definition_relationship
View_definition_relationship.relating_view -> 
Product_as_individual_view"
;IndividualPartViewRelationship to Class (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_Class(View_definition_relationship, 'relation type')/"
;IndividualPartViewRelationship to ClassString (as relationType);View_definition_relationship.relation_type;ISO 10303-442;;
;IndividualPartViewRelationship to ExternalClass (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_ExternalClass(View_definition_relationship, 'relation type')/"
;IndividualPartViewRelationship to ExternalOwlClass (as relationType);PATH;;;"View_definition_relationship
/TYPEINFO_AS_ExternalOwlClass(View_definition_relationship, 'relation type')/"
PartToIndividualPartAssociation;;Product_design_to_individual;ISO 10303-442;;
;PartToIndividualPartAssociation to IndividualPart (as associatedInduvidualPart);PATH;;;"Product_design_to_individual
Product_design_to_individual.individual_product -> 
Product_as_individual"
;PartToIndividualPartAssociation to Part (as associatedPart);PATH;;;"Product_design_to_individual
Product_design_to_individual.product_design -> 
Product =>
Part"
;PartToIndividualPartAssociation to Classification (as classifiedAs);PATH;;;"Product_design_to_individual
/classifiedAs_AS_Classification(Product_design_to_individual)/"
;PartToIndividualPartAssociation to CharacterString (as description);PATH;;;"Product_design_to_individual
/classifiedAs_AS_Classification(Product_design_to_individual)/"
;PartToIndividualPartAssociation to Descriptor (as description);PATH;;;"Product_design_to_individual
/description_AS_Descriptor(Product_design_to_individual)/"
;PartToIndividualPartAssociation to DescriptorSet (as description);PATH;;;"Product_design_to_individual
/description_AS_DescriptorSet(Product_design_to_individual)/"
;PartToIndividualPartAssociation to LocalizedString (as description);PATH;;;"Product_design_to_individual
/description_AS_LocalizedString(Product_design_to_individual)/"
