BO;Attribute;ARM Element;Source;Rules;Reference path
Requirement;;Requirement;442;;"Requirement <= 
Product"
;Requirement to Classification (as classifiedAs);PATH;;;"Requirement <=
Product
/classifiedAs_AS_Classification(Product)/"
;Requirement to CharacterString (as description);Product.description;442;;"Requirement <= 
Product
Product.description"
;Requirement to Descriptor (as description);PATH;;;"Requirement <=
Product
/description_AS_Descriptor(Product)/"
;Requirement to DescriptorSet (as description);PATH;;;"Requirement <=
Product
/description_AS_DescriptorSet(Product)/"
;Requirement to LocalizedString (as description);PATH;;;"Requirement <=
Product
/description_AS_LocalizedString(Product)/"
;Requirement to TranslatedStringSet (as description);PATH;;;"Requirement <=
Product
/description_AS_TranslatedStringSet(Product)/"
;Requirement to Identifier (as id);PATH;;;"Requirement <=
Product
/id_AS_Identifier(Product)/"
;Requirement to IdentifierSet (as id);PATH;;;"Requirement <=
Product
/id_AS_IdentifierSet(Product)/"
;Requirement to IdentifierString (as id);Product.id;442;;"Requirement <= 
Product
Product.id"
;Requirement to CharacterString (as name);Product.name;442;;"Requirement <= 
Product
Product.name"
;Requirement to Descriptor (as name);PATH;;;"Requirement <=
Product
/name_AS_Descriptor(Product)/"
;Requirement to DescriptorSet (as name);PATH;;;"Requirement <=
Product
/name_AS_DescriptorSet(Product)/"
;Requirement to LocalizedString (as name);PATH;;;"Requirement <=
Product
/name_AS_LocalizedString(Product)/"
;Requirement to TranslatedStringSet (as name);PATH;;;"Requirement <=
Product
/name_AS_TranslatedStringSet(Product)/"
;Requirement to ExternalItem (as sameAs);PATH;;;"Requirement <=
Product
/sameAs_AS_ExternalItem(Product)/"
;Requirement to ExternalOwlObject (as sameAs);PATH;;;"Requirement <=
Product
/sameAs_AS_ExternalOWLObject(Product)/"
;Requirement to Proxy (as sameAs);PATH;;;"Requirement <=
Product
/sameAs_AS_Proxy(Product)/"
;Requirement to ProxyString (as sameAs);PATH;;;"Requirement <=
Product
/sameAs_AS_ProxyString(Product)/"
;Requirement to RequirementVersion (as versions);PATH;;;"Requirement <- 
Requirement_version.of_product
Requirement_version"
RequirementAssignment;;Requirement_assignment;442;;
;RequirementAssignment to RequirementView (as assignedRequirement);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_requirement -> 
Requirement_view_definition "
;RequirementAssignment to ActivityMethod (as assignedTo);NO MAPPING;;;
;RequirementAssignment to ActivityMethodAssignment (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AlternatePartRelationship (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AlternativeSolution (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AssemblyOccurrenceRelationship (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AssemblyViewRelationship (as assignedTo);NO MAPPING;;;
;RequirementAssignment to AssemblyViewRelationshipSubstitution (as assignedTo);NO MAPPING;;;
