BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
AndCondition;;Condition;442;;"Condition
{Condition.name = 'and'}";;
;AndCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;AndCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'and'}";;
;AndCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;AndCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
Condition;;Condition;442;;;;
;Condition to Classification (as classifiedAs);PATH;;;"Condition
/classifiedAs_AS_Classification(Condition)/";;
;Condition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;Condition to ClassString (as conditionType);Condition.name;;;;Condition.type is missing;
;Condition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;Condition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
;Condition to CharacterString (as description);Condition.description;;;;;
;Condition to Descriptor (as description);PATH;;;"Condition
/description_AS_Descriptor(Condition)/";;
;Condition to DescriptorSet (as description);PATH;;;"Condition
/description_AS_DescriptorSet(Condition)/";;
;Condition to LocalizedString (as description);PATH;;;"Condition
/description_AS_LocalizedString(Condition)/";;
;Condition to TranslatedStringSet (as description);PATH;;;"Condition
/description_AS_TranslatedStringSet(Condition)/";;
;Condition to Identifier (as id);PATH;;;"Condition
/id_AS_Identifier(Condition)/";;
;Condition to IdentifierSet (as id);PATH;;;"Condition
/id_AS_IdentifierSet(Condition)/";;
;Condition to IdentifierString (as id);NO MAPPING;;;;Condition.name;Condition.name is missing
;Condition to Activity (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to ActivityAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to ActivityMethod (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to ActivityMethodAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to AddressAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to Approval (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to ApprovalAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to Breakdown (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownElement (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownElementVersion (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownElementView (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownElementViewRelationship (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownVersion (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to BreakdownVersionAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to CertificationAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to Classification (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
