BO;Attribute;ARM Element;Source;Rules;Reference path
AlternativeSolution;;Alternative_solution;442;;
;AlternativeSolution to AlternativeSolution (as baseElement);PATH;;;"Alternative_solution
Alternative_solution.base_element -> 
complex_product_select
complex_product_select = Alternative_solution
Alternative_solution"
;AlternativeSolution to BreakdownElement (as baseElement);PATH;;;"#1: if the base element is a functional breakdown element
Alternative_solution
Alternative_solution.base_element -> 
complex_product_select
complex_product_select = Functional_element_definition
Functional_element_definition
#2: if the base element is a physical breakdown element
Alternative_solution
Alternative_solution.base_element -> 
complex_product_select
complex_product_select = Physical_element_definition
Physical_element_definition"
;AlternativeSolution to Classification (as classifiedAs);PATH;;;"Alternative_solution
classification_item = Alternative_solution
classification_item <-
Classification_assignment[i].items[1]
Classification_assignment"
;AlternativeSolution to CharacterString (as description);PATH;;;"Alternative_solution
assigned_name_select = Alternative_solution
assigned_name_select <-
Name_assignment.items[1]
Name_assignment
{Name_assignment.role = 'description'}"
;AlternativeSolution to Descriptor (as description);PATH;;;"Alternative_solution
assigned_name_select = Alternative_solution
assigned_name_select <-
Name_assignment.items[1]
Name_assignment
{Name_assignment.role = 'description'}"
;AlternativeSolution to DescriptorSet (as description);PATH;;;"Alternative_solution
assigned_name_select = Alternative_solution
assigned_name_select <-
Name_assignment[i].items[1]
Name_assignment[i]
{Name_assignment[i].role = 'description'}"
;AlternativeSolution to LocalizedString (as description);PATH;;;"Alternative_solution
string_select = Alternative_solution
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
{Attribute_translation_assignment.considered_attribute='description'}"
;AlternativeSolution to TranslatedStringSet (as description);PATH;;;"Alternative_solution
string_select = Alternative_solution
string_select <-
Attribute_translation_assignment[i].considered_instance
Attribute_translation_assignment[i]
{Attribute_translation_assignment[i].considered_attribute='description'}"
;AlternativeSolution to Identifier (as id);PATH;;;"Alternative_solution
identification_item = Alternative_solution
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'id'}"
;AlternativeSolution to IdentifierSet (as id);PATH;;;"Alternative_solution
identification_item = Alternative_solution
identification_item <-
Identification_assignment[i].items[1]
Identification_assignment[i]
{Identification_assignment.role = 'id'}"
;AlternativeSolution to IdentifierString (as id);Alternative_solution.id;442;;
