BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues against ARM;
"Occurrence
";;"alternate map #1
Definition_based_part_occurrence
alternate map#2
Specification_based_part_occurrence";442;;"#1: If Occurrence is defined by a PartVeiw
[Definition_based_part_occurrence <=
Definition_based_product_occurrence <=]
[Definition_based_part_occurrence <= 
Part_occurrence <=]
Product_occurrence <=
 Product_view_definition
#2: If Occurrence is defined by a ProductConfiguration
[Specification_based_part_occurrence <=
Specification_based_product_occurrence <=]
[Specification_based_part_occurrence <= 
Part_occurrence <=]
Product_occurrence <=
 Product_view_definition";"should the ""{"" and ""}"" brackets be ""on top""";;
;Occurrence to Classification (as classifiedAs);PATH;;;"/MAPPING_OF(Occurrence)/
/classifiedAs_AS_Classification(Product_view_definition)/";;;
;Occurrence to GeometricModel (as definingGeometry);PATH;;;"/MAPPING_OF(Occurrence)/ <-
shapeable_item = /MAPPING_OF(Occurrence)/
shapeable_item <-
Item_shape.described_element
Item_shape <=
Associated_item_shape <-
Shape_description_association.definition
Shape_description_association
Shape_description_association.used_representation ->
shape_model
shape_model = Geometric_model
Geometric_model";;;
;Occurrence to PartView (as definition);"alternate map #1
Definition_based_part_occurrence.derived_from";442;;;;;
;Occurrence to ProductConfiguration (as definition);"alternate map #2
NO MAPPING";;;;;"Specification_based_part|product_occurrence.derived_from --> Product_configuration seems to be missing (Specification_based_product_version seems not to be approbriate)
Ask Lothar about his opinion";
;Occurrence to CharacterString (as description);Product_view_definition.additional_characterization;442;;;;;
;Occurrence to Descriptor (as description);PATH;;;"/MAPPING_OF(Occurrence)/
/description_AS_Descriptor(Product_view_definition)/";;;
;Occurrence to DescriptorSet (as description);PATH;;;"/MAPPING_OF(Occurrence)/
/description_AS_DescriptorSet(Product_view_definition)/";;;
;Occurrence to LocalizedString (as description);PATH;;;"/MAPPING_OF(Occurrence)/
/description_AS_LocalizedString(Product_view_definition)/";;;
;Occurrence to TranslatedStringSet (as description);PATH;;;"/MAPPING_OF(Occurrence)/
/description_AS_TranslatedStringSet(Product_view_definition)/";;;
;Occurrence to Identifier (as id);PATH;;;"/MAPPING_OF(Occurrence)/
/id_AS_Identifier(Product_view_definition)/";;;
;Occurrence to IdentifierSet (as id);PATH;;;"/MAPPING_OF(Occurrence)/
/id_AS_IdentifierSet(Product_view_definition)/";;;
;Occurrence to IdentifierString (as id);Product_view_definition.id;442;exactly_one_ExchangeContext;;;;
OccurrenceRelationship;;Part_occurrence_relationship;442;;"{Part_occurrence_relationship <=
View_definition_relationship}";;;
;OccurrenceRelationship to Classification (as classifiedAs);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/classifiedAs_AS_Classification(View_definition_relationship)/";;;
;OccurrenceRelationship to CharacterString (as description);View_definition_relationship.description;442;;;;;
;OccurrenceRelationship to Descriptor (as description);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/description_AS_Descriptor(View_definition_relationship)/";;;
;OccurrenceRelationship to DescriptorSet (as description);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/description_AS_DescriptorSet(View_definition_relationship)/";;;
;OccurrenceRelationship to LocalizedString (as description);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/description_AS_LocalizedString(View_definition_relationship)/";;;
;OccurrenceRelationship to TranslatedStringSet (as description);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/description_AS_TranslatedStringSet(View_definition_relationship)/";;;
;OccurrenceRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/id_AS_Identifier(Part_occurrence_relationship)/";;;
;OccurrenceRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/id_AS_IdentifierSet(Part_occurrence_relationship)/";;;
;OccurrenceRelationship to IdentifierString (as id);View_definition_relationship.id;442;exactly_one_ExchangeContext;;;;
;OccurrenceRelationship to Occurrence (as related);Part_occurrence_relationship.related_view;442;;"Part_occurrence_relationship
Part_occurrence_relationship.related_view ->
Product_occurrence =>
Part_occurrence";;;
;OccurrenceRelationship to Occurrence (as relating);Part_occurrence_relationship.relating_view;442;;"Part_occurrence_relationship
Part_occurrence_relationship.relating_view ->
Product_occurrence =>
Part_occurrence";;;
;OccurrenceRelationship to Class (as relationType);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/TYPEINFO_AS_Class(View_definition_relationship, 'relation type')/";;;
;OccurrenceRelationship to ClassString (as relationType);View_definition_relationship.relation_type;442;;;;;
;OccurrenceRelationship to ExternalClass (as relationType);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/TYPEINFO_AS_ExternalClass(View_definition_relationship, 'relation type')/";;;
;OccurrenceRelationship to ExternalOwlClass (as relationType);PATH;;;"/MAPPING_OF(OccurrenceRelationship)/
/TYPEINFO_AS_ExternalOwlClass(View_definition_relationship, 'relation type')/";;;
ViewOccurrenceRelationship;;Product_occurrence_definition_relationship;442;;"{Product_occurrence_definition_relationship
[Product_occurrence_definition_relationship.related_view ->
product_view_definition_or_reference
product_view_definition_or_reference = Product_view_definition
Product_view_definition =>
Product_occurrence =>
Part_occurrence]
[Product_occurrence_definition_relationship.relating_view ->
product_view_definition_or_reference}
product_view_definition_or_reference = Product_view_definition
Product_view_definition =>
Part_view_definition]}";;;
;ViewOccurrenceRelationship to Classification (as classifiedAs);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/classifiedAs_AS_Classification(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to CharacterString (as description);NO MAPPING;;;;Product_occurrence_definition_relationship.description;.description attribute is missing in the modules;
;ViewOccurrenceRelationship to Descriptor (as description);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/description_AS_Descriptor(Product_occurrence_definition_relationship)/";;;
;ViewOccurrenceRelationship to DescriptorSet (as description);PATH;;;"/MAPPING_OF(ViewOccurrenceRelationship)/
/description_AS_DescriptorSet(Product_occurrence_definition_relationship)/";;;
