"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AddElement";"";"";"";"";""
"";"AddElement to DeltaChangeManagementObjectSelect (as currentDesignObject)";"";"";"";""
"ChangeElementSequence";"";"";"";"";""
"";"ChangeElementSequence to Classification (as classifiedAs)";"";"";"";""
"";"ChangeElementSequence to CharacterString (as description)";"";"";"";""
"";"ChangeElementSequence to Descriptor (as description)";"";"";"";""
"";"ChangeElementSequence to DescriptorSet (as description)";"";"";"";""
"";"ChangeElementSequence to LocalizedString (as description)";"";"";"";""
"";"ChangeElementSequence to TranslatedStringSet (as description)";"";"";"";""
"";"ChangeElementSequence to DeltaChangeActivity (as related)";"";"";"";""
"";"ChangeElementSequence to DeltaChangeActivity (as relating)";"";"";"";""
"DeleteElement";"";"";"";"";""
"";"DeleteElement to DeltaChangeManagementObjectSelect (as previousDesignObject)";"";"";"";""
"DeltaChange";"";"";"";"";""
"";"DeltaChange to DeltaChangeActivity (as changeActivities)";"";"";"";""
"";"DeltaChange to Classification (as classifiedAs)";"";"";"";""
"";"DeltaChange to AlternativeSolutionRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to BreakdownElementVersionRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to DocumentVersionRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to PartVersionRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to ProcessOperationOccurrenceRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to ProcessPlanRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to ReplacedPartViewRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to ReplacedUsageRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to RequirementVersionRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to ShapeElementRelationship (as describedChange)";"";"";"";""
"";"DeltaChange to CharacterString (as description)";"";"";"";""
"";"DeltaChange to Descriptor (as description)";"";"";"";""
"";"DeltaChange to DescriptorSet (as description)";"";"";"";""
"";"DeltaChange to LocalizedString (as description)";"";"";"";""
"";"DeltaChange to TranslatedStringSet (as description)";"";"";"";""
"";"DeltaChange to Identifier (as id)";"";"";"";""
"";"DeltaChange to IdentifierSet (as id)";"";"";"";""
"";"DeltaChange to IdentifierString (as id)";"";"";"";""
"";"DeltaChange to CharacterString (as name)";"";"";"";""
"";"DeltaChange to Descriptor (as name)";"";"";"";""
"";"DeltaChange to DescriptorSet (as name)";"";"";"";""
"";"DeltaChange to LocalizedString (as name)";"";"";"";""
"";"DeltaChange to TranslatedStringSet (as name)";"";"";"";""
"DeltaChangeActivity";"";"";"";"";""
"";"DeltaChangeActivity to CharacterString (as attributeName)";"";"";"";""
"";"changeLocationInAggregateAttribute";"";"";"";""
"FrozenAssignment";"";"";"";"";""
"";"FrozenAssignment to DeltaChangeManagementObjectSelect (as frozenObject)";"";"";"";""
"ModifyElement";"";"";"";"";""
"";"ModifyElement to DeltaChangeManagementObjectSelect (as currentDesignObject)";"";"";"";""
"ModifySingleElement";"";"";"";"";""
"";"ModifySingleElement to DeltaChangeManagementObjectSelect (as currentDesignObject)";"";"";"";""
"";"ModifySingleElement to DeltaChangeManagementObjectSelect (as previousDesignObject)";"";"";"";""
