"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ShapeElement";"";"";"";"";""
"";"ShapeElement to Classification (as classifiedAs)";"";"";"";""
"";"ShapeElement to CharacterString (as description)";"";"";"";""
"";"ShapeElement to Descriptor (as description)";"";"";"";""
"";"ShapeElement to DescriptorSet (as description)";"";"";"";""
"";"ShapeElement to LocalizedString (as description)";"";"";"";""
"";"ShapeElement to TranslatedStringSet (as description)";"";"";"";""
"";"ShapeElement to AssemblyViewRelationship (as elementOf)";"";"";"";""
"";"ShapeElement to BreakdownElementView (as elementOf)";"";"";"";""
"";"ShapeElement to IndividualPartView (as elementOf)";"";"";"";""
"";"ShapeElement to Occurrence (as elementOf)";"";"";"";""
"";"ShapeElement to PartView (as elementOf)";"";"";"";""
"";"ShapeElement to Identifier (as id)";"";"";"";""
"";"ShapeElement to IdentifierSet (as id)";"";"";"";""
"";"ShapeElement to IdentifierString (as id)";"";"";"";""
"";"ShapeElement to CharacterString (as name)";"";"";"";""
"";"ShapeElement to Descriptor (as name)";"";"";"";""
"";"ShapeElement to DescriptorSet (as name)";"";"";"";""
"";"ShapeElement to LocalizedString (as name)";"";"";"";""
"";"ShapeElement to TranslatedStringSet (as name)";"";"";"";""
"";"ShapeElement to RepresentationItem (as representedGeometry)";"";"";"";""
"ShapeElementRelationship";"";"";"";"";""
"";"ShapeElementRelationship to Classification (as classifiedAs)";"";"";"";""
"";"ShapeElementRelationship to CharacterString (as description)";"";"";"";""
"";"ShapeElementRelationship to Descriptor (as description)";"";"";"";""
"";"ShapeElementRelationship to DescriptorSet (as description)";"";"";"";""
"";"ShapeElementRelationship to LocalizedString (as description)";"";"";"";""
"";"ShapeElementRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"ShapeElementRelationship to Identifier (as id)";"";"";"";""
"";"ShapeElementRelationship to IdentifierSet (as id)";"";"";"";""
"";"ShapeElementRelationship to IdentifierString (as id)";"";"";"";""
"";"ShapeElementRelationship to ShapeElement (as related)";"";"";"";""
"";"ShapeElementRelationship to ShapeElement (as relating)";"";"";"";""
"";"ShapeElementRelationship to Class (as relationType)";"";"";"";""
"";"ShapeElementRelationship to ClassString (as relationType)";"";"";"";""
"";"ShapeElementRelationship to ExternalClass (as relationType)";"";"";"";""
"";"ShapeElementRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"";"ShapeElementRelationship to RepresentationItem (as representedGeometry)";"";"";"";""
