"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"BeveledSheetRepresentation";"";"";"";"";""
"";"BeveledSheetRepresentation to NumericalValue (as bevelAngle)";"";"";"";""
"";"BeveledSheetRepresentation to CompositeSheetRepresentation (as boundarySurface)";"";"";"";""
"";"BeveledSheetRepresentation to NumericalValue (as verticalProfileHeight)";"";"";"";""
"BoundaryCurveRepresentation";"";"";"";"";""
"";"BoundaryCurveRepresentation to CompositeCurveOnSurface (as bounds)";"";"";"";""
"";"BoundaryCurveRepresentation to Pcurve (as bounds)";"";"";"";""
"";"BoundaryCurveRepresentation to SurfaceCurve (as bounds)";"";"";"";""
"";"BoundaryCurveRepresentation to CharacterString (as name)";"";"";"";""
"";"BoundaryCurveRepresentation to Descriptor (as name)";"";"";"";""
"";"BoundaryCurveRepresentation to DescriptorSet (as name)";"";"";"";""
"";"BoundaryCurveRepresentation to LocalizedString (as name)";"";"";"";""
"";"BoundaryCurveRepresentation to TranslatedStringSet (as name)";"";"";"";""
"CompositeAssembly";"";"";"";"";""
"";"CompositeAssembly to CompositeAssemblyTable (as layupPart)";"";"";"";""
"";"CompositeAssembly to ExternalAdvancedBrepShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalEdgeBasedWireframeShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalFacetedBrepShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalGeometricallyBoundedSurfaceShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalGeometricallyBoundedWireframeShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalManifoldSurfaceShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ExternalShellBasedWireframeShapeRepresentation (as shape)";"";"";"";""
"";"CompositeAssembly to ThreeDGeometrySet (as shape)";"";"";"";""
"CompositeAssemblySequenceDefinition";"";"";"";"";""
"";"CompositeAssemblySequenceDefinition to CompositeAssembly (as componentsInSequence)";"";"";"";""
"";"CompositeAssemblySequenceDefinition to FilamentLaminate (as componentsInSequence)";"";"";"";""
"";"CompositeAssemblySequenceDefinition to Ply (as componentsInSequence)";"";"";"";""
"";"CompositeAssemblySequenceDefinition to PlyLaminate (as componentsInSequence)";"";"";"";""
"";"CompositeAssemblySequenceDefinition to ProcessedCore (as componentsInSequence)";"";"";"";""
"CompositeAssemblyTable";"";"";"";"";""
"";"CompositeAssemblyTable to CompositeAssemblySequenceDefinition (as sequenceGroups)";"";"";"";""
"CompositeCurveOnSurface";"";"";"";"";""
"CompositeSheetRepresentation";"";"";"";"";""
"";"CompositeSheetRepresentation to ExternalGeometricModel (as threeDGeometry)";"";"";"";""
"ConstituentPart";"";"";"";"";""
"";"ConstituentPart to NumericalValue (as weight)";"";"";"";""
"ConstituentShapeRepresentation";"";"";"";"";""
"Curve";"";"";"";"";""
"";"Curve to ExternalItem (as external)";"";"";"";""
"DegeneratePcurve";"";"";"";"";""
"DirectionOfFiberOrientationWithinAPly";"";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to AxisPlacement (as angleReferences)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to Curve (as angleReferences)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to Direction (as angleReferences)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to PointPath (as angleReferences)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to ReinforcementOrientationBasis (as basis)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to CharacterString (as description)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to Descriptor (as description)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to DescriptorSet (as description)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to LocalizedString (as description)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to TranslatedStringSet (as description)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to Identifier (as id)";"";"";"";""
"";"DirectionOfFiberOrientationWithinAPly to IdentifierSet (as id)";"";"";"";""
