"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"DataValidityEffectivity";"";"";"";"";""
"Effectivity";"";"";"";"";""
"";"Effectivity to Classification (as classifiedAs)";"";"";"";""
"";"Effectivity to Organization (as concernedOrganizations)";"";"";"";""
"";"Effectivity to CharacterString (as description)";"";"";"";""
"";"Effectivity to Descriptor (as description)";"";"";"";""
"";"Effectivity to DescriptorSet (as description)";"";"";"";""
"";"Effectivity to LocalizedString (as description)";"";"";"";""
"";"Effectivity to TranslatedStringSet (as description)";"";"";"";""
"";"Effectivity to Activity (as effectivityContext)";"";"";"";""
"";"Effectivity to Contract (as effectivityContext)";"";"";"";""
"";"Effectivity to Organization (as effectivityContext)";"";"";"";""
"";"Effectivity to PersonInOrganization (as effectivityContext)";"";"";"";""
"";"Effectivity to ProductClass (as effectivityContext)";"";"";"";""
"";"Effectivity to ProductConfiguration (as effectivityContext)";"";"";"";""
"";"Effectivity to Project (as effectivityContext)";"";"";"";""
"";"Effectivity to DateTimeString (as endDefinition)";"";"";"";""
"";"Effectivity to Event (as endDefinition)";"";"";"";""
"";"Effectivity to Identifier (as id)";"";"";"";""
"";"Effectivity to IdentifierSet (as id)";"";"";"";""
"";"Effectivity to IdentifierString (as id)";"";"";"";""
"";"Effectivity to ExternalItem (as sameAs)";"";"";"";""
"";"Effectivity to ExternalOwlObject (as sameAs)";"";"";"";""
"";"Effectivity to Proxy (as sameAs)";"";"";"";""
"";"Effectivity to ProxyString (as sameAs)";"";"";"";""
"";"Effectivity to DateTimeString (as startDefinition)";"";"";"";""
"";"Effectivity to Event (as startDefinition)";"";"";"";""
"";"Effectivity to Identifier (as versionId)";"";"";"";""
"";"Effectivity to IdentifierSet (as versionId)";"";"";"";""
"";"Effectivity to IdentifierString (as versionId)";"";"";"";""
"EffectivityAssignment";"";"";"";"";""
"";"EffectivityAssignment to Effectivity (as assignedEffectivity)";"";"";"";""
"";"EffectivityAssignment to Activity (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ActivityAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ActivityMethod (as assignedTo)";"";"";"";""
