"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ExchangeContext";"";"";"";"";""
"";"ExchangeContext to Language (as defaultLanguage)";"";"";"";""
"";"ExchangeContext to Unit (as defaultUnit)";"";"";"";""
"";"ExchangeContext to CharacterString (as description)";"";"";"";""
"";"ExchangeContext to Descriptor (as description)";"";"";"";""
"";"ExchangeContext to DescriptorSet (as description)";"";"";"";""
"";"ExchangeContext to LocalizedString (as description)";"";"";"";""
"";"ExchangeContext to TranslatedStringSet (as description)";"";"";"";""
"";"ExchangeContext to Identifier (as identificationContext)";"";"";"";""
"";"ExchangeContext to Organization (as identificationContext)";"";"";"";""
"Identifier";"";"";"";"";""
"";"Identifier to Classification (as classifiedAs)";"";"";"";""
"";"Identifier to IdentifierString (as id)";"";"";"";""
"";"Identifier to Identifier (as identificationContext)";"";"";"";""
"";"Identifier to Organization (as identificationContext)";"";"";"";""
"";"Identifier to Class (as role)";"";"";"";""
"";"Identifier to ClassString (as role)";"";"";"";""
"";"Identifier to ExternalClass (as role)";"";"";"";""
"";"Identifier to ExternalOwlClass (as role)";"";"";"";""
"IdentifierRelationship";"";"";"";"";""
"";"IdentifierRelationship to Classification (as classifiedAs)";"";"";"";""
"";"IdentifierRelationship to CharacterString (as description)";"";"";"";""
"";"IdentifierRelationship to Descriptor (as description)";"";"";"";""
"";"IdentifierRelationship to DescriptorSet (as description)";"";"";"";""
"";"IdentifierRelationship to LocalizedString (as description)";"";"";"";""
"";"IdentifierRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"IdentifierRelationship to Identifier (as id)";"";"";"";""
"";"IdentifierRelationship to IdentifierSet (as id)";"";"";"";""
"";"IdentifierRelationship to IdentifierString (as id)";"";"";"";""
"";"IdentifierRelationship to Identifier (as related)";"";"";"";""
"";"IdentifierRelationship to Identifier (as relating)";"";"";"";""
"";"IdentifierRelationship to Class (as relationType)";"";"";"";""
"";"IdentifierRelationship to ClassString (as relationType)";"";"";"";""
"";"IdentifierRelationship to ExternalClass (as relationType)";"";"";"";""
"";"IdentifierRelationship to ExternalOwlClass (as relationType)";"";"";"";""
