"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AlternatePartRelationship";"";"";"";"";""
"";"AlternatePartRelationship to CharacterString (as criteria)";"";"";"";""
"";"AlternatePartRelationship to LocalizedString (as criteria)";"";"";"";""
"";"AlternatePartRelationship to TranslatedStringSet (as criteria)";"";"";"";""
"";"AlternatePartRelationship to ClassString (as relationType)";"";"";"";""
"Part";"";"";"";"";""
"";"Part to Classification (as classifiedAs)";"";"";"";""
"";"Part to CharacterString (as description)";"";"";"";""
"";"Part to Descriptor (as description)";"";"";"";""
"";"Part to DescriptorSet (as description)";"";"";"";""
"";"Part to LocalizedString (as description)";"";"";"";""
"";"Part to TranslatedStringSet (as description)";"";"";"";""
"";"Part to Identifier (as id)";"";"";"";""
"";"Part to IdentifierSet (as id)";"";"";"";""
"";"Part to IdentifierString (as id)";"";"";"";""
"";"Part to CharacterString (as name)";"";"";"";""
"";"Part to Descriptor (as name)";"";"";"";""
"";"Part to DescriptorSet (as name)";"";"";"";""
"";"Part to LocalizedString (as name)";"";"";"";""
"";"Part to TranslatedStringSet (as name)";"";"";"";""
"";"Part to Class (as partTypes)";"";"";"";""
"";"Part to ClassString (as partTypes)";"";"";"";""
"";"Part to ExternalClass (as partTypes)";"";"";"";""
"";"Part to ExternalOwlClass (as partTypes)";"";"";"";""
"";"Part to ExternalItem (as sameAs)";"";"";"";""
"";"Part to ExternalOwlObject (as sameAs)";"";"";"";""
"";"Part to Proxy (as sameAs)";"";"";"";""
"";"Part to ProxyString (as sameAs)";"";"";"";""
"";"Part to PartVersion (as versions)";"";"";"";""
"PartRelationship";"";"";"";"";""
"";"PartRelationship to Classification (as classifiedAs)";"";"";"";""
"";"PartRelationship to CharacterString (as description)";"";"";"";""
"";"PartRelationship to Descriptor (as description)";"";"";"";""
"";"PartRelationship to DescriptorSet (as description)";"";"";"";""
"";"PartRelationship to LocalizedString (as description)";"";"";"";""
"";"PartRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"PartRelationship to Identifier (as id)";"";"";"";""
"";"PartRelationship to IdentifierSet (as id)";"";"";"";""
"";"PartRelationship to IdentifierString (as id)";"";"";"";""
"";"PartRelationship to Part (as related)";"";"";"";""
"";"PartRelationship to Part (as relating)";"";"";"";""
"";"PartRelationship to Class (as relationType)";"";"";"";""
"";"PartRelationship to ClassString (as relationType)";"";"";"";""
"";"PartRelationship to ExternalClass (as relationType)";"";"";"";""
"";"PartRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"PartVersion";"";"";"";"";""
"";"PartVersion to Classification (as classifiedAs)";"";"";"";""
"";"PartVersion to CharacterString (as description)";"";"";"";""
"";"PartVersion to Descriptor (as description)";"";"";"";""
"";"PartVersion to DescriptorSet (as description)";"";"";"";""
"";"PartVersion to LocalizedString (as description)";"";"";"";""
"";"PartVersion to TranslatedStringSet (as description)";"";"";"";""
"";"PartVersion to Identifier (as id)";"";"";"";""
"";"PartVersion to IdentifierSet (as id)";"";"";"";""
"";"PartVersion to IdentifierString (as id)";"";"";"";""
"";"PartVersion to ExternalItem (as sameAs)";"";"";"";""
"";"PartVersion to ExternalOwlObject (as sameAs)";"";"";"";""
"";"PartVersion to Proxy (as sameAs)";"";"";"";""
"";"PartVersion to ProxyString (as sameAs)";"";"";"";""
"";"PartVersion to PartView (as views)";"";"";"";""
"PartVersionRelationship";"";"";"";"";""
"";"PartVersionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"PartVersionRelationship to CharacterString (as description)";"";"";"";""
"";"PartVersionRelationship to Descriptor (as description)";"";"";"";""
"";"PartVersionRelationship to DescriptorSet (as description)";"";"";"";""
"";"PartVersionRelationship to LocalizedString (as description)";"";"";"";""
"";"PartVersionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"PartVersionRelationship to Identifier (as id)";"";"";"";""
"";"PartVersionRelationship to IdentifierSet (as id)";"";"";"";""
"";"PartVersionRelationship to IdentifierString (as id)";"";"";"";""
"";"PartVersionRelationship to PartVersion (as related)";"";"";"";""
"";"PartVersionRelationship to PartVersion (as relating)";"";"";"";""
"";"PartVersionRelationship to Class (as relationType)";"";"";"";""
"";"PartVersionRelationship to ClassString (as relationType)";"";"";"";""
"";"PartVersionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"PartVersionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
