"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AssemblyRealizationContext";"";"";"";"";""
"";"AssemblyRealizationContext to Classification (as classifiedAs)";"";"";"";""
"";"AssemblyRealizationContext to CharacterString (as description)";"";"";"";""
"";"AssemblyRealizationContext to Descriptor (as description)";"";"";"";""
"";"AssemblyRealizationContext to DescriptorSet (as description)";"";"";"";""
"";"AssemblyRealizationContext to LocalizedString (as description)";"";"";"";""
"";"AssemblyRealizationContext to TranslatedStringSet (as description)";"";"";"";""
"";"AssemblyRealizationContext to AssemblyViewRelationship (as related)";"";"";"";""
"";"AssemblyRealizationContext to Occurrence (as related)";"";"";"";""
"";"AssemblyRealizationContext to IndividualAssemblyRelationship (as relating)";"";"";"";""
"IndividualAssemblyRelationship";"";"";"";"";""
"";"IndividualAssemblyRelationship to Classification (as classifiedAs)";"";"";"";""
"";"IndividualAssemblyRelationship to CharacterString (as description)";"";"";"";""
"";"IndividualAssemblyRelationship to Descriptor (as description)";"";"";"";""
"";"IndividualAssemblyRelationship to DescriptorSet (as description)";"";"";"";""
"";"IndividualAssemblyRelationship to LocalizedString (as description)";"";"";"";""
"";"IndividualAssemblyRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualAssemblyRelationship to Identifier (as id)";"";"";"";""
"";"IndividualAssemblyRelationship to IdentifierSet (as id)";"";"";"";""
"";"IndividualAssemblyRelationship to IdentifierString (as id)";"";"";"";""
"";"IndividualAssemblyRelationship to IndividualPartView (as related)";"";"";"";""
"";"IndividualAssemblyRelationship to IndividualPartView (as relating)";"";"";"";""
"";"IndividualAssemblyRelationship to ClassString (as relationType)";"";"";"";""
"IndividualPart";"";"";"";"";""
"";"IndividualPart to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPart to CharacterString (as description)";"";"";"";""
"";"IndividualPart to Descriptor (as description)";"";"";"";""
"";"IndividualPart to DescriptorSet (as description)";"";"";"";""
"";"IndividualPart to LocalizedString (as description)";"";"";"";""
"";"IndividualPart to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPart to Identifier (as id)";"";"";"";""
"";"IndividualPart to IdentifierSet (as id)";"";"";"";""
"";"IndividualPart to IdentifierString (as id)";"";"";"";""
"";"IndividualPart to CharacterString (as name)";"";"";"";""
"";"IndividualPart to Descriptor (as name)";"";"";"";""
"";"IndividualPart to DescriptorSet (as name)";"";"";"";""
"";"IndividualPart to LocalizedString (as name)";"";"";"";""
"";"IndividualPart to TranslatedStringSet (as name)";"";"";"";""
"";"IndividualPart to ExternalItem (as sameAs)";"";"";"";""
"";"IndividualPart to ExternalOwlObject (as sameAs)";"";"";"";""
"";"IndividualPart to Proxy (as sameAs)";"";"";"";""
"";"IndividualPart to ProxyString (as sameAs)";"";"";"";""
"";"IndividualPart to IndividualPartVersion (as versions)";"";"";"";""
"IndividualPartRelationship";"";"";"";"";""
"";"IndividualPartRelationship to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPartRelationship to CharacterString (as description)";"";"";"";""
"";"IndividualPartRelationship to Descriptor (as description)";"";"";"";""
"";"IndividualPartRelationship to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartRelationship to LocalizedString (as description)";"";"";"";""
"";"IndividualPartRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPartRelationship to Identifier (as id)";"";"";"";""
"";"IndividualPartRelationship to IdentifierSet (as id)";"";"";"";""
"";"IndividualPartRelationship to IdentifierString (as id)";"";"";"";""
"";"IndividualPartRelationship to IndividualPart (as related)";"";"";"";""
"";"IndividualPartRelationship to IndividualPart (as relating)";"";"";"";""
"";"IndividualPartRelationship to Class (as relationType)";"";"";"";""
"";"IndividualPartRelationship to ClassString (as relationType)";"";"";"";""
"";"IndividualPartRelationship to ExternalClass (as relationType)";"";"";"";""
"";"IndividualPartRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"IndividualPartVersion";"";"";"";"";""
"";"IndividualPartVersion to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPartVersion to CharacterString (as description)";"";"";"";""
"";"IndividualPartVersion to Descriptor (as description)";"";"";"";""
"";"IndividualPartVersion to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartVersion to LocalizedString (as description)";"";"";"";""
"";"IndividualPartVersion to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPartVersion to Identifier (as id)";"";"";"";""
"";"IndividualPartVersion to IdentifierSet (as id)";"";"";"";""
"";"IndividualPartVersion to IdentifierString (as id)";"";"";"";""
"";"IndividualPartVersion to ExternalItem (as sameAs)";"";"";"";""
"";"IndividualPartVersion to ExternalOwlObject (as sameAs)";"";"";"";""
"";"IndividualPartVersion to Proxy (as sameAs)";"";"";"";""
"";"IndividualPartVersion to ProxyString (as sameAs)";"";"";"";""
"";"IndividualPartVersion to IndividualPartView (as views)";"";"";"";""
"IndividualPartVersionRelationship";"";"";"";"";""
"";"IndividualPartVersionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPartVersionRelationship to CharacterString (as description)";"";"";"";""
"";"IndividualPartVersionRelationship to Descriptor (as description)";"";"";"";""
"";"IndividualPartVersionRelationship to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartVersionRelationship to LocalizedString (as description)";"";"";"";""
"";"IndividualPartVersionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPartVersionRelationship to Identifier (as id)";"";"";"";""
"";"IndividualPartVersionRelationship to IdentifierSet (as id)";"";"";"";""
"";"IndividualPartVersionRelationship to IdentifierString (as id)";"";"";"";""
"";"IndividualPartVersionRelationship to IndividualPartVersion (as related)";"";"";"";""
"";"IndividualPartVersionRelationship to IndividualPartVersion (as relating)";"";"";"";""
"";"IndividualPartVersionRelationship to Class (as relationType)";"";"";"";""
"";"IndividualPartVersionRelationship to ClassString (as relationType)";"";"";"";""
"";"IndividualPartVersionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"IndividualPartVersionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"IndividualPartView";"";"";"";"";""
"";"IndividualPartView to ViewContext (as additionalContexts)";"";"";"";""
"";"IndividualPartView to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPartView to GeometricModel (as definingGeometry)";"";"";"";""
"";"IndividualPartView to CharacterString (as description)";"";"";"";""
"";"IndividualPartView to Descriptor (as description)";"";"";"";""
"";"IndividualPartView to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartView to LocalizedString (as description)";"";"";"";""
