"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ConditionalConfiguration";"";"";"";"";""
"";"ConditionalConfiguration to Class (as configurationType)";"";"";"";""
"";"ConditionalConfiguration to ClassString (as configurationType)";"";"";"";""
"";"ConditionalConfiguration to ExternalClass (as configurationType)";"";"";"";""
"";"ConditionalConfiguration to ExternalOwlClass (as configurationType)";"";"";"";""
"";"ConditionalConfiguration to AlternativeSolution (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to AssemblyViewRelationship (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to BreakdownElement (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to Occurrence (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to ProcessOperationOccurrence (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to ProcessPlan (as configuredElement)";"";"";"";""
"";"ConditionalConfiguration to Class (as inheritanceType)";"";"";"";""
"";"ConditionalConfiguration to ClassString (as inheritanceType)";"";"";"";""
"";"ConditionalConfiguration to ExternalClass (as inheritanceType)";"";"";"";""
"";"ConditionalConfiguration to ExternalOwlClass (as inheritanceType)";"";"";"";""
"";"ConditionalConfiguration to SpecificationAssignment (as resolvedConfiguration)";"";"";"";""
"";"ConditionalConfiguration to SpecificationConditionAssignment (as resolvedConfiguration)";"";"";"";""
"ConditionalEffectivity";"";"";"";"";""
"";"ConditionalEffectivity to Condition (as condition)";"";"";"";""
"ConfiguredAssemblyEffectivity";"";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Classification (as classifiedAs)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to AssemblyViewRelationship (as configuredElement)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Occurrence (as configuredElement)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to CharacterString (as description)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Descriptor (as description)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to DescriptorSet (as description)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to LocalizedString (as description)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to TranslatedStringSet (as description)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Effectivity (as effectivityDomain)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Identifier (as id)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to IdentifierSet (as id)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to IdentifierString (as id)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to CharacterString (as name)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Descriptor (as name)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to DescriptorSet (as name)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to LocalizedString (as name)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to TranslatedStringSet (as name)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to ProductDesignAssociation (as resolvedConfiguration)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to ExternalItem (as sameAs)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to Proxy (as sameAs)";"";"";"";""
"";"ConfiguredAssemblyEffectivity to ProxyString (as sameAs)";"";"";"";""
"ProductConfiguration";"";"";"";"";""
"";"ProductConfiguration to Classification (as classifiedAs)";"";"";"";""
"";"ProductConfiguration to Specification (as definingSpecifications)";"";"";"";""
"";"ProductConfiguration to CharacterString (as description)";"";"";"";""
"";"ProductConfiguration to Descriptor (as description)";"";"";"";""
"";"ProductConfiguration to DescriptorSet (as description)";"";"";"";""
"";"ProductConfiguration to LocalizedString (as description)";"";"";"";""
"";"ProductConfiguration to TranslatedStringSet (as description)";"";"";"";""
"";"ProductConfiguration to Identifier (as id)";"";"";"";""
"";"ProductConfiguration to IdentifierSet (as id)";"";"";"";""
"";"ProductConfiguration to IdentifierString (as id)";"";"";"";""
"";"ProductConfiguration to ProductClass (as memberOf)";"";"";"";""
"";"ProductConfiguration to CharacterString (as name)";"";"";"";""
"";"ProductConfiguration to Descriptor (as name)";"";"";"";""
"";"ProductConfiguration to DescriptorSet (as name)";"";"";"";""
"";"ProductConfiguration to LocalizedString (as name)";"";"";"";""
"";"ProductConfiguration to TranslatedStringSet (as name)";"";"";"";""
"";"ProductConfiguration to ExternalItem (as sameAs)";"";"";"";""
"";"ProductConfiguration to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ProductConfiguration to Proxy (as sameAs)";"";"";"";""
"";"ProductConfiguration to ProxyString (as sameAs)";"";"";"";""
"";"ProductConfiguration to Identifier (as versionId)";"";"";"";""
"";"ProductConfiguration to IdentifierSet (as versionId)";"";"";"";""
"";"ProductConfiguration to IdentifierString (as versionId)";"";"";"";""
"ProductConfigurationRelationship";"";"";"";"";""
"";"ProductConfigurationRelationship to Classification (as classifiedAs)";"";"";"";""
"";"ProductConfigurationRelationship to CharacterString (as description)";"";"";"";""
"";"ProductConfigurationRelationship to Descriptor (as description)";"";"";"";""
"";"ProductConfigurationRelationship to DescriptorSet (as description)";"";"";"";""
"";"ProductConfigurationRelationship to LocalizedString (as description)";"";"";"";""
"";"ProductConfigurationRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"ProductConfigurationRelationship to Identifier (as id)";"";"";"";""
"";"ProductConfigurationRelationship to IdentifierSet (as id)";"";"";"";""
"";"ProductConfigurationRelationship to IdentifierString (as id)";"";"";"";""
"";"ProductConfigurationRelationship to ProductConfiguration (as related)";"";"";"";""
"";"ProductConfigurationRelationship to ProductConfiguration (as relating)";"";"";"";""
"";"ProductConfigurationRelationship to Class (as relationType)";"";"";"";""
"";"ProductConfigurationRelationship to ClassString (as relationType)";"";"";"";""
"";"ProductConfigurationRelationship to ExternalClass (as relationType)";"";"";"";""
"";"ProductConfigurationRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"ProductDesignAssociation";"";"";"";"";""
"";"ProductDesignAssociation to ProductConfiguration (as associatedConfiguration)";"";"";"";""
"";"ProductDesignAssociation to PartVersion (as associatedDesign)";"";"";"";""
"";"ProductDesignAssociation to Classification (as classifiedAs)";"";"";"";""
"";"ProductDesignAssociation to CharacterString (as description)";"";"";"";""
"";"ProductDesignAssociation to Descriptor (as description)";"";"";"";""
"";"ProductDesignAssociation to DescriptorSet (as description)";"";"";"";""
"";"ProductDesignAssociation to LocalizedString (as description)";"";"";"";""
"";"ProductDesignAssociation to TranslatedStringSet (as description)";"";"";"";""
