BO;Attribute;ARM Element;Source;Rules;Reference path
AddElement;;Add_element;442;;
;AddElement to DeltaChangeManagementObjectSelect (as currentDesignObject);"NO MAPPING";;;
ChangeElementSequence;;Change_element_sequence;442;;
;ChangeElementSequence to Classification (as classifiedAs);"NO MAPPING";;;
;ChangeElementSequence to CharacterString (as description);Change_element_sequence.description;;;
;ChangeElementSequence to Descriptor (as description);"NO MAPPING";;;
;ChangeElementSequence to DescriptorSet (as description);"NO MAPPING";;;
;ChangeElementSequence to LocalizedString (as description);"NO MAPPING";;;
;ChangeElementSequence to TranslatedStringSet (as description);"NO MAPPING";;;
;ChangeElementSequence to DeltaChangeActivity (as related);PATH;;;"Change_element_sequence.next ->
Change_element"
;ChangeElementSequence to DeltaChangeActivity (as relating);PATH;;;"Change_element_sequence.previous ->
Change_element"
DeleteElement;;Delete_element;442;;
;DeleteElement to DeltaChangeManagementObjectSelect (as previousDesignObject);"NO MAPPING";;;
DeltaChange;;Change;442;;
;DeltaChange to DeltaChangeActivity (as changeActivities);PATH;;;"Change <-
Change_element.change_set"
;DeltaChange to Classification (as classifiedAs);"NO MAPPING";;;
;DeltaChange to AlternativeSolutionRelationship (as describedChange);"NO MAPPING";;;
;DeltaChange to BreakdownElementVersionRelationship (as describedChange);"NO MAPPING";;;
;DeltaChange to DocumentVersionRelationship (as describedChange);"NO MAPPING";;;
;DeltaChange to PartVersionRelationship (as describedChange);PATH;;;"change.described_change ->
change_relationship_select = Product_version_relationship"
;DeltaChange to ProcessOperationOccurrenceRelationship (as describedChange);PATH;;;"change.described_change ->
change_relationship_select = Process_operation_occurrence_relationship"
;DeltaChange to ProcessPlanRelationship (as describedChange);PATH;;;"change.described_change ->
change_relationship_select = Process_plan_relationship"
;DeltaChange to ReplacedPartViewRelationship (as describedChange);"NO MAPPING";;;
;DeltaChange to ReplacedUsageRelationship (as describedChange);PATH;;;"change.described_change ->
change_relationship_select = replaced_usage_relationship"
;DeltaChange to RequirementVersionRelationship (as describedChange);"NO MAPPING";;;
;DeltaChange to ShapeElementRelationship (as describedChange);"NO MAPPING";;;"change.described_change ->
change_relationship_select = shape_element_relationship"
;DeltaChange to CharacterString (as description);Change.description;;;
;DeltaChange to Descriptor (as description);"NO MAPPING";;;
;DeltaChange to DescriptorSet (as description);"NO MAPPING";;;
;DeltaChange to LocalizedString (as description);"NO MAPPING";;;
;DeltaChange to TranslatedStringSet (as description);"NO MAPPING";;;
;DeltaChange to Identifier (as id);"NO MAPPING";;;
;DeltaChange to IdentifierSet (as id);"NO MAPPING";;;
;DeltaChange to IdentifierString (as id);Change.id;;;
;DeltaChange to CharacterString (as name);Change.name;;;
;DeltaChange to Descriptor (as name);"NO MAPPING";;;
;DeltaChange to DescriptorSet (as name);"NO MAPPING";;;
;DeltaChange to LocalizedString (as name);"NO MAPPING";;;
;DeltaChange to TranslatedStringSet (as name);"NO MAPPING";;;
DeltaChangeActivity;;Change_element;442;;
;DeltaChangeActivity to CharacterString (as attributeName);Change_element.attribute_name;;;
;changeLocationInAggregateAttribute;Change_element.change_location_in_aggregate_attribute;;;
FrozenAssignment;;Frozen_assignment;442;;
;FrozenAssignment to DeltaChangeManagementObjectSelect (as frozenObject);"NO MAPPING";;;
ModifyElement;;Modify_element;442;;
;ModifyElement to DeltaChangeManagementObjectSelect (as currentDesignObject);"NO MAPPING";;;
ModifySingleElement;;Modify_single_element;442;;
;ModifySingleElement to DeltaChangeManagementObjectSelect (as currentDesignObject);"NO MAPPING";;;
;ModifySingleElement to DeltaChangeManagementObjectSelect (as previousDesignObject);"NO MAPPING";;;
