BO;Attribute;ARM Element;Source;Rules;Reference path
CentreOfMass;;NO MAPPING PROVIDED;;;
;CentreOfMass to CartesianPoint (as centrePoint);NO MAPPING PROVIDED;;;
;CentreOfMass to GeometricCoordinateSpace (as definedIn);NO MAPPING PROVIDED;;;
ExpandedUncertainty;;NO MAPPING PROVIDED;;;
;coverageFactor;NO MAPPING PROVIDED;;;
ExternalPropertyDefinition;;NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ExternalUnit (as allowedUnits);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to Unit (as allowedUnits);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ExternalItem (as definition);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ExternalOwlObject (as definition);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ProxyString (as definition);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ExternalItem (as sameAs);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ExternalOwlObject (as sameAs);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to Proxy (as sameAs);NO MAPPING PROVIDED;;;
;ExternalPropertyDefinition to ProxyString (as sameAs);NO MAPPING PROVIDED;;;
ExternalTypeQualifier;;NO MAPPING PROVIDED;;;
;ExternalTypeQualifier to ExternalItem (as sameAs);NO MAPPING PROVIDED;;;
;ExternalTypeQualifier to ExternalOwlObject (as sameAs);NO MAPPING PROVIDED;;;
;ExternalTypeQualifier to Proxy (as sameAs);NO MAPPING PROVIDED;;;
;ExternalTypeQualifier to ProxyString (as sameAs);NO MAPPING PROVIDED;;;
ExternalUnit;;NO MAPPING PROVIDED;;;
;ExternalUnit to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;ExternalUnit to ExternalItem (as definition);NO MAPPING PROVIDED;;;
;ExternalUnit to ExternalOwlObject (as definition);NO MAPPING PROVIDED;;;
;ExternalUnit to ProxyString (as definition);NO MAPPING PROVIDED;;;
;ExternalUnit to ExternalItem (as sameAs);NO MAPPING PROVIDED;;;
;ExternalUnit to ExternalOwlObject (as sameAs);NO MAPPING PROVIDED;;;
;ExternalUnit to Proxy (as sameAs);NO MAPPING PROVIDED;;;
;ExternalUnit to ProxyString (as sameAs);NO MAPPING PROVIDED;;;
GeneralShapeDependentProperty;;NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to ExternalPropertyDefinition (as propertyType);NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to PropertyDefinition (as propertyType);NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to PropertyDefinitionString (as propertyType);NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to CartesianPoint (as propertyValue);NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to NumericalValue (as propertyValue);NO MAPPING PROVIDED;;;
;GeneralShapeDependentProperty to Unit (as unit);NO MAPPING PROVIDED;;;
MeasureQualification;;NO MAPPING PROVIDED;;;
;MeasureQualification to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;MeasureQualification to CharacterString (as description);NO MAPPING PROVIDED;;;
;MeasureQualification to Descriptor (as description);NO MAPPING PROVIDED;;;
;MeasureQualification to DescriptorSet (as description);NO MAPPING PROVIDED;;;
;MeasureQualification to LocalizedString (as description);NO MAPPING PROVIDED;;;
;MeasureQualification to TranslatedStringSet (as description);NO MAPPING PROVIDED;;;
;MeasureQualification to ExternalTypeQualifier (as qualifiers);NO MAPPING PROVIDED;;;
;MeasureQualification to PreDefinedTypeQualifier (as qualifiers);NO MAPPING PROVIDED;;;
;MeasureQualification to PrecisionQualifier (as qualifiers);NO MAPPING PROVIDED;;;
;MeasureQualification to UncertaintyQualifier (as qualifiers);NO MAPPING PROVIDED;;;
ModelProperty;;NO MAPPING PROVIDED;;;
;ModelProperty to ExternalPropertyDefinition (as definition);NO MAPPING PROVIDED;;;
;ModelProperty to PropertyDefinition (as definition);NO MAPPING PROVIDED;;;
;ModelProperty to PropertyDefinitionString (as definition);NO MAPPING PROVIDED;;;
;ModelProperty to GeometricModel (as specifiedValue);NO MAPPING PROVIDED;;;
;ModelProperty to StyledModel (as specifiedValue);NO MAPPING PROVIDED;;;
ModelPropertyAssignment;;NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ModelProperty (as assignedProperty);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Activity (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ActivityAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ActivityMethod (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ActivityMethodAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ActivityMethodRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ActivityRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Address (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to AddressAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to AlternativeSolution (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Approval (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ApprovalAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownElementRealization (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownElementRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownElementVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownElementView (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownElementViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownVersion (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownVersionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to BreakdownVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to CertificationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Condition (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ConditionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ConditionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Contract (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ContractAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ContractRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DateAndPersonAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DateTimeAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DocumentAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DocumentDefinition (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DocumentDefinitionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DocumentRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DocumentVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to EffectivityAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to EventAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to File (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to FileRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to FrozenAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to InZone (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IndividualPartRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IndividualPartVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IndividualPartView (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IndividualPartViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to InformationUsageRightAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to MaterialPropertyAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ModelPropertyAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Occurrence (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to OccurrenceRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to OrganizationRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Part (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PartRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PartVersion (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PartVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PartView (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PartViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Person (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PersonInOrganization (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProcessOperationDefinition (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProcessOperationOccurrence (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProcessOperationResourceAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProcessPlan (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductConcept (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductConfiguration (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductConfigurationRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Project (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProjectAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProjectRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PropertyDefinitionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PropertyDefinitionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PropertyValueAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to PropertyValueRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementSource (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementView (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to RequirementViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SecurityClassificationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ShapeElement (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ShapeElementRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Specification (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SpecificationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SpecificationCategoryAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SpecificationConditionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to SpecificationInclusionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to TimeIntervalAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ViewOccurrenceRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkOrder (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkOrderAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequest (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequestAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to WorkRequestRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Classification (as classifiedAs);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to CharacterString (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Descriptor (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to DescriptorSet (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to LocalizedString (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to TranslatedStringSet (as description);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Identifier (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IdentifierSet (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to IdentifierString (as id);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Class (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ClassString (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ExternalClass (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ExternalOwlClass (as role);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to Organization (as validityContext);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductClass (as validityContext);NO MAPPING PROVIDED;;;
;ModelPropertyAssignment to ProductConfiguration (as validityContext);NO MAPPING PROVIDED;;;
MomentsOfInertia;;NO MAPPING PROVIDED;;;
;MomentsOfInertia to GeometricCoordinateSpace (as definedIn);NO MAPPING PROVIDED;;;
;MomentsOfInertia to NumericalValue (as inertiaValue);NO MAPPING PROVIDED;;;
;MomentsOfInertia to AxisPlacement (as referenceAxisPlacement);NO MAPPING PROVIDED;;;
