"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Document";;"NO MAPPING PROVIDED";;;
;"Document to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"Document to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"Document to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"Document to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"Document to Class (as documentTypes)";"NO MAPPING PROVIDED";;;
;"Document to ClassString (as documentTypes)";"NO MAPPING PROVIDED";;;
;"Document to ExternalClass (as documentTypes)";"NO MAPPING PROVIDED";;;
;"Document to ExternalOwlClass (as documentTypes)";"NO MAPPING PROVIDED";;;
;"Document to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"Document to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"Document to CharacterString (as name)";"NO MAPPING PROVIDED";;;
;"Document to Descriptor (as name)";"NO MAPPING PROVIDED";;;
;"Document to LocalizedString (as name)";"NO MAPPING PROVIDED";;;
;"Document to ExternalItem (as sameAs)";"NO MAPPING PROVIDED";;;
;"Document to ExternalOwlObject (as sameAs)";"NO MAPPING PROVIDED";;;
;"Document to Proxy (as sameAs)";"NO MAPPING PROVIDED";;;
;"Document to ProxyString (as sameAs)";"NO MAPPING PROVIDED";;;
;"Document to DocumentVersion (as versions)";"NO MAPPING PROVIDED";;;
"DocumentAssignment";;"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Document (as assignedDocument)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentDefinition (as assignedDocument)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentVersion (as assignedDocument)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to File (as assignedDocument)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ActivityAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ActivityMethodAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ActivityMethodRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ActivityRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to AddressAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to AlternativeSolution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Approval (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ApprovalAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ApprovalRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ApprovingPersonOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Breakdown (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownContext (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElementRealization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownElementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownVersionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to BreakdownVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Certification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to CertificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Class (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ClassAttribute (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ClassString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Classification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Condition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ConditionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ConditionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Contract (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ContractAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DateAndPersonAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DateTimeAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DeltaChange (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Descriptor (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DescriptorRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Document (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to DocumentVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
