"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"DateAndPersonAssignment";;"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to DateAndPersonOrganization (as assignedDateAndPerson)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Activity (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ActivityAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ActivityMethod (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ActivityMethodAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ActivityMethodRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ActivityRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to AddressAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to AlternativeSolution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to AlternativeSolutionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Approval (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ApprovalAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ApprovalRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ApprovingPersonOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Breakdown (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElement (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElementRealization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElementVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElementVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElementView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownElementViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownVersionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to BreakdownVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Certification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to CertificationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Class (as assignedTo)";"NO MAPPING PROVIDED";;;
