BO;Attribute;ARM Element;Source;Rules;Reference path
ActuatedPair;;Actuated_kinematic_pair;442;;
;ActuatedPair to ActuatedDirectionEnum (as rx);Actuated_kinematic_pair.r_x;;;
;ActuatedPair to ActuatedDirectionEnum (as ry);Actuated_kinematic_pair.r_y;;;
;ActuatedPair to ActuatedDirectionEnum (as rz);Actuated_kinematic_pair.r_y;;;
;ActuatedPair to ActuatedDirectionEnum (as tx);Actuated_kinematic_pair.t_x;;;
;ActuatedPair to ActuatedDirectionEnum (as ty);Actuated_kinematic_pair.t_y;;;
;ActuatedPair to ActuatedDirectionEnum (as tz);Actuated_kinematic_pair.t_z;;;
HighOrderKinematicPair;;High_order_kinematic_pair;442;;
;HighOrderKinematicPair to Curve (as curveOrSurface1);PATH;;;"# if pair is of kind linear_flexible_and_planar_curve_pair
(High_order_kinematic_pair => Linear_flexible_and_planar_curve_pair
Linear_flexible_and_planar_curve_pair.pair_curve -> Curve)

# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair
(High_order_kinematic_pair => Planar_curve_pair
Planar_curve_pair.curve_1 -> Curve)

# if pair is of kind point_on_planar_curve_pair
(High_order_kinematic_pair => Point_on_planar_curve_pair
Point_on_planar_curve_pair.pair_curve -> Curve)"
;HighOrderKinematicPair to Surface (as curveOrSurface1);PATH;;;"# if pair is of kind point_on_surface_pair
(High_order_kinematic_pair => Point_on_surface_pair
Point_on_surface_pair.pair_surface -> Surface)

# if pair is of kind point_on_surface_pair
# if pair is of kind rolling_surface_pair
# if pair is of kind sliding_surface_pair
(High_order_kinematic_pair => Surface_pair
Surface_pair.surface_1 -> Surface)"
;HighOrderKinematicPair to Curve (as curveOrSurface2);PATH;;;"# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair
High_order_kinematic_pair => Planar_curve_pair
Planar_curve_pair.curve_2 -> Curve"
;HighOrderKinematicPair to Surface (as curveOrSurface2);PATH;;;"# if pair is of kind point_on_surface_pair
# if pair is of kind rolling_surface_pair
# if pair is of kind sliding_surface_pair
High_order_kinematic_pair => Surface_pair
Surface_pair.surface_2 -> Surface"
;HighOrderKinematicPair to HighOrderKinematicPairTypeEnum (as kind);PATH;;;"# if pair is of kind linear_flexible_and_planar_curve_pair
(High_order_kinematic_pair => Linear_flexible_and_planar_curve_pair)
# if pair is of kind point_on_surface_pair
(High_order_kinematic_pair => Point_on_surface_pair)
# if pair is of kind point_on_planar_curve_pair
(High_order_kinematic_pair => Point_on_planar_curve_pair)
# if pair is of kind planar_curve_pair
(High_order_kinematic_pair => Planar_curve_pair)
# if pair is of kind rolling_curve_pair
(High_order_kinematic_pair => )
Planar_curve_pair => Rolling_curve_pair)
# if pair is of kind sliding_curve_pair
(High_order_kinematic_pair => 
Planar_curve_pair => Sliding_curve_pair)
# if pair is of kind rolling_surface_pair
(High_order_kinematic_pair => 
Surface_pair => Rolling_surface_pair)
# if pair is of kind sliding_surface_pair
(High_order_kinematic_pair => 
Surface_pair => Sliding_surface_pair)"
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitPitch);PATH;;;"# if pair is of kind point_on_surface_pair
(High_order_kinematic_pair =>                    
Point_on_surface_pair => 
Point_on_surface_pair_with_range
Point_on_surface_pair_with_range.lower_limit_pitch)

# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair,
(High_order_kinematic_pair =>                    
Point_on_planar_curve_pair => 
Point_on_planar_curve_pair_with_range
Point_on_planar_curve_pair_with_range.lower_limit_pitch)
"
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitRoll);PATH;;;"# if pair is of kind point_on_surface_pair
High_order_kinematic_pair =>                    
Point_on_surface_pair => 
Point_on_surface_pair_with_range
Point_on_surface_pair_with_range.lower_limit_roll

# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair,
High_order_kinematic_pair =>                    
Point_on_planar_curve_pair => 
Point_on_planar_curve_pair_with_range
Point_on_planar_curve_pair_with_range.lower_limit_roll
"
;HighOrderKinematicPair to PlaneAngleMeasure (as lowerLimitYaw);PATH;;;"# if pair is of kind point_on_surface_pair
(High_order_kinematic_pair =>                    
Point_on_surface_pair => 
Point_on_surface_pair_with_range
Point_on_surface_pair_with_range.lower_limit_yaw)

# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair,
(High_order_kinematic_pair =>                    
Point_on_planar_curve_pair => 
Point_on_planar_curve_pair_with_range
Point_on_planar_curve_pair_with_range.lower_limit_yaw)

# if pair is of kind rolling_surface_pair
# if pair is of kind sliding_surface_pair
(High_order_kinematic_pair =>                    
Surface_pair => 
Surface_pair_with_range
Surface_pair_with_range.lower_limit_actual_rotation)"
;HighOrderKinematicPair to ExternalGeometricModel (as model1);PATH;;;"High_order_kinematic_pair <=
Kinematic_pair
Kinematic_pair <-
Pair_representation_relationship.transformation_operator
Pair_representation_relationship
Pair_representation_relationship.rep_1 ->
Kinematic_link_representation <-
Kinematic_link_representation_association.rep_1
Kinematic_link_representation_association
Kinematic_link_representation_association.rep-2 ->
Geometric_model 
Geometric_model => External_geometric_model"
;HighOrderKinematicPair to ExternalGeometricModel (as model2);PATH;;;"High_order_kinematic_pair <=
Kinematic_pair
Kinematic_pair <-
Pair_representation_relationship.transformation_operator
Pair_representation_relationship
Pair_representation_relationship.rep_2 ->
Kinematic_link_representation <-
Kinematic_link_representation_association.rep_1
Kinematic_link_representation_association
Kinematic_link_representation_association.rep-2 ->
Geometric_model 
Geometric_model => External_geometric_model"
;orientation;PATH;;;"# if pair is of kind linear_flexible_and_planar_curve_pair
(High_order_kinematic_pair => Linear_flexible_and_planar_curve_pair
Linear_flexible_and_planar_curve_pair.orientation)

# if pair is of kind planar_curve_pair
# if pair is of kind rolling_curve_pair
# if pair is of kind sliding_curve_pair
(High_order_kinematic_pair => Planar_curve_pair
Planar_curve_pair.orientation)

# if pair is of kind point_on_planar_curve_pair
(High_order_kinematic_pair => Point_on_planar_curve_pair
Point_on_planar_curve_pair.orientation)

# if pair is of kind point_on_surface_pair
# if pair is of kind rolling_surface_pair
# if pair is of kind sliding_surface_pair
(High_order_kinematic_pair => Surface_pair
Surface_pair.orientation)"
