BO;Attribute;ARM Element;Source;Rules;Reference path
EvaluatedCharacteristic;;Evaluated_characteristic;;;
;EvaluatedCharacteristic to PropertyValue (as actualCharacteristics);PATH;;;"Evaluated_characteristic.product_characterization_data ->
Property_representation"
;EvaluatedCharacteristic to Classification (as classifiedAs);"NO MAPPING";;;
;EvaluatedCharacteristic to CharacterString (as description);Evaluated_characteristic.description;;;
;EvaluatedCharacteristic to Descriptor (as description);"NO MAPPING";;;
;EvaluatedCharacteristic to DescriptorSet (as description);"NO MAPPING";;;
;EvaluatedCharacteristic to LocalizedString (as description);"NO MAPPING";;;
;EvaluatedCharacteristic to TranslatedStringSet (as description);"NO MAPPING";;;
;EvaluatedCharacteristic to EvaluationResultEnum (as evaluationResult);Evaluated_characteristic.evaluation_result;;;
;EvaluatedCharacteristic to EvaluationStatusEnum (as evaluationStatus);Evaluated_characteristic.product_data_status;;;
;EvaluatedCharacteristic to Identifier (as id);"NO MAPPING";;;
;EvaluatedCharacteristic to IdentifierSet (as id);"NO MAPPING";;;
;EvaluatedCharacteristic to IdentifierString (as id);Evaluated_characteristic.id;;;
;EvaluatedCharacteristic to CharacterString (as name);Evaluated_characteristic.name;;;
;EvaluatedCharacteristic to Descriptor (as name);"NO MAPPING";;;
;EvaluatedCharacteristic to DescriptorSet (as name);"NO MAPPING";;;
;EvaluatedCharacteristic to LocalizedString (as name);"NO MAPPING";;;
;EvaluatedCharacteristic to TranslatedStringSet (as name);"NO MAPPING";;;
;EvaluatedCharacteristic to PlannedCharacteristic (as plannedCharacteristics);PATH;;;"Evaluated_characteristic.planned_product_data ->
Planned_characteristic"
IndividualPartTestResult;;"NO MAPPING";;;
;IndividualPartTestResult to IndividualPartView (as testedPart);"NO MAPPING";;;
MeasuredCharacteristic;;"NO MAPPING";;;
;MeasuredCharacteristic to Classification (as classifiedAs);"NO MAPPING";;;
;MeasuredCharacteristic to CharacterString (as description);"NO MAPPING";;;
;MeasuredCharacteristic to Descriptor (as description);"NO MAPPING";;;
;MeasuredCharacteristic to DescriptorSet (as description);"NO MAPPING";;;
;MeasuredCharacteristic to LocalizedString (as description);"NO MAPPING";;;
;MeasuredCharacteristic to TranslatedStringSet (as description);"NO MAPPING";;;
;MeasuredCharacteristic to Identifier (as id);"NO MAPPING";;;
;MeasuredCharacteristic to IdentifierSet (as id);"NO MAPPING";;;
;MeasuredCharacteristic to IdentifierString (as id);"NO MAPPING";;;
;MeasuredCharacteristic to Activity (as measureActivity);"NO MAPPING";;;
;MeasuredCharacteristic to ProcessOperationOccurrence (as measureActivity);"NO MAPPING";;;
;MeasuredCharacteristic to PropertyValue (as measuredCharacteristics);"NO MAPPING";;;
;MeasuredCharacteristic to CharacterString (as name);"NO MAPPING";;;
;MeasuredCharacteristic to Descriptor (as name);"NO MAPPING";;;
;MeasuredCharacteristic to DescriptorSet (as name);"NO MAPPING";;;
;MeasuredCharacteristic to LocalizedString (as name);"NO MAPPING";;;
;MeasuredCharacteristic to TranslatedStringSet (as name);"NO MAPPING";;;
PlannedCharacteristic;;Planned_characteristic;;;
;PlannedCharacteristic to RequirementAssignment (as definedFor);PATH;;;"Planned_characteristic.reference_requirement ->
Requirement_assignment"
;PlannedCharacteristic to CharacterString (as name);"NO MAPPING";;;
;PlannedCharacteristic to Descriptor (as name);"NO MAPPING";;;
;PlannedCharacteristic to DescriptorSet (as name);"NO MAPPING";;;
;PlannedCharacteristic to LocalizedString (as name);"NO MAPPING";;;
;PlannedCharacteristic to TranslatedStringSet (as name);"NO MAPPING";;;
;PlannedCharacteristic to PropertyValue (as plannedCharacteristics);PATH;;;"Planned_characteristic.planned_coordinated_characteristic ->
Property_representation"
