"";"ActivityAssignmentSelect";"ActivityMethodAssignmentSelect";"AngleSelect";"ApplicationDomainSelect";"ApprovalAssignmentSelect";"ApprovalScopeSelect";"AssemblyDesignSelect";"AssignedDocumentSelect";"AssignmentObjectSelect";"AxisPlacementOrTransformationSelect";"BoundaryClassZoneSelect";"BreakdownElementOrAlternativeSolutionSelect";"BreakdownElementOrOccurrenceSelect";"BreakdownVersionAssignmentSelect";"CertificationAssignmentSelect";"ClassSelect";"ComponentClassForAssemblySelect";"CompositeAssemblyShapeSelect";"ConditionAssignmentSelect";"ConditionParameterSelect";"ConfiguredItemSelect";"ConfiguredSpecificationSelect";"ContractAssignmentSelect";"CoreShapeSelect";"DateTimeAssignmentSelect";"DateTimePersonOrganizationElementSelect";"DeltaChangeRelationshipSelect";"DescriptorSelect";"DocumentAssignmentSelect";"EffectivityAssignmentSelect";"EffectivityContextSelect";"EventOrDateSelect";"ExternalCurveOrSurfaceSelect";"ExternalSourceSelect";"ExternalTrimmedCurveOrSurfaceSelect";"FinalDefinitionSelect";"GeneralOrganizationalDataSelect";"GeometricBoundingCurveSelect";"IdentificationContextSelect";"IdentifierSelect";"InZoneSelect";"InformationUsageRightAssignmentSelect";"LifeCycleStageSelect";"MaterialIdentificationAssignmentSelect";"MeasureActivitySelect";"ModelPropertyValueSelect";"MotionModelSelect";"MultiLingualStringSelect";"OccurrenceDefinitionSelect";"OccurrenceUsageContextSelect";"OrganizationOrPersonInOrganizationSelect";"ParameterSelect";"PartInformationSelect";"PartVersionOrProductConfigurationSelect";"PartViewOrProductConfigurationSelect";"PeriodOrDateSelect";"PhysicalElementSelect";"PlyLaminateShapeSelect";"PointSelect";"ProcessOperationInputOrOutputSelect";"ProcessOperationResourceAssignmentSelect";"ProjectAssignmentSelect";"PropertyAssignmentSelect";"PropertyDefinitionSelect";"PropertyValueSelect";"ProxyItemSelect";"ProxySelect";"RequirementAssignmentSelect";"RequirementSourceSelect";"SecurityClassificationAssignmentSelect";"ShapedElementSelect";"SimpleOrSpatialRotationSelect";"SingleIdentifierSelect";"SuppliedObjectSelect";"ThicknessLaminateTableComponentSelect";"TransformationSelect";"TypeQualifierSelect";"UnitSelect";"ValidityContextSelect";"ValueQualifierSelect";"WorkOrderAssignmentSelect";"WorkRequestAssignmentSelect"
"Activity";"x";"x";"";"";"x";"x";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"x";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"x";"";"";"";"x";"";"";"";"";"";"";"x";"x"
"ActivityAssignment";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityAssignmentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityHappeningRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethod";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"x";"x"
"ActivityMethodAssignment";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"x";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethodAssignmentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethodRelationship";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityRelationship";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActualActivity";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
