"PI1";"Part and Version Identification"
"";"AlternatePartRelationship"
"";"Part"
"";"PartRelationship"
"";"PartVersion"
"";"PartVersionRelationship"
"PI2";"Part View"
"";"ApplicationDomain"
"";"LifeCycleStage"
"";"PartView"
"";"PartViewRelationship"
"";"ViewContext"
"SBC1";"Product Specification"
"";"ClassCategoryAssociation"
"";"ClassConditionAssociation"
"";"ClassInclusionAssociation"
"";"ClassSpecificationAssociation"
"";"ProductClass"
"";"ProductClassRelationship"
"";"Specification"
"";"SpecificationCategory"
"";"SpecificationCategoryHierarchy"
"";"SpecificationExpression"
"";"SpecificationInclusion"
"SBC2";"Breakdown"
"";"AlternativeSolution"
"";"AlternativeSolutionRelationship"
"";"Breakdown"
"";"BreakdownAssignment"
"";"BreakdownElement"
"";"BreakdownElementAssociation"
"";"BreakdownElementVersion"
"";"BreakdownElementVersionRelationship"
"";"BreakdownElementView"
"";"BreakdownElementViewRelationship"
"";"BreakdownRelationship"
"";"BreakdownVersion"
"";"BreakdownVersionRelationship"
"";"ComponentPlacement"
"";"FinalSolution"
"";"FunctionalBreakdown"
"";"FunctionalBreakdownElementViewAssociation"
"";"InZoneAssociation"
"";"InstancePlacement"
"";"PhysicalBreakdown"
"";"RealizationOrOccurrenceRelationship"
"";"SupplierSolution"
"";"SystemBreakdown"
"";"TechnicalSolution"
"";"ZonalBreakdown"
"SBC3";"Assembly Structure"
"";"AssemblyDefinition"
"";"AssemblyOccurrenceRelationship"
"";"AssemblyOccurrenceRelationshipSubstitution"
"";"AssemblyViewRelationship"
"";"AssemblyViewRelationshipSubstitution"
"";"CollectedPartRelationship"
"";"CollectionDefinition"
"";"GeometricalRelationship"
"";"NextAssemblyOccurrenceUsage"
"";"NextAssemblyViewUsage"
"";"PromissoryAssemblyOccurrenceUsage"
"";"PromissoryAssemblyViewUsage"
"";"ReplacedPartViewRelationship"
"SBC4";"Configuration"
"";"Configuration"
"";"DatedConfiguration"
"";"LotConfiguration"
"";"ManufacturingConfiguration"
"";"ProductConfiguration"
"";"ProductConfigurationRelationship"
"";"ProductPartEquivalence"
"";"SerialConfiguration"
"";"TimeIntervalConfiguration"
"SBC5";"Part Occurrence"
"";"PartOccurrence"
"";"PartOccurrenceRelationship"
"";"PartViewOccurrenceRelationship"
"";"QuantifiedPartOccurrence"
"";"ReplacedUsageRelationship"
"";"SelectedPartOccurrence"
"";"SinglePartOccurrence"
"";"SpecifiedPartOccurrence"
"SBC6";"Transformation, Geometric Coordinate Space, and Coordinate System"
"";"CartesianPoint"
"";"CoordinateSystem"
"";"DetailedGeometricModelElement"
"";"Direction"
"";"ExplicitTransformation2d"
"";"ExplicitTransformation3d"
"";"GeometricCoordinateSpace"
"";"ImplicitTransformation2d"
"";"ImplicitTransformation3d"
"";"Point"
"";"TemplateDefinition"
"";"TemplateInstance"
"";"Transformation"
"";"Transformation2d"
"";"Transformation3d"
"PPP1";"Individual Part"
"";"AssemblyRealizationContextAssociation"
"";"IndividualAssemblyRelationship"
"";"IndividualPart"
"";"IndividualPartTestResult"
"";"IndividualPartVersion"
"";"IndividualPartVersionRelationship"
"";"IndividualPartView"
"";"IndividualPartViewRelationship"
"";"PartToIndividualPartAssociation"
"";"PartVersionToIndividualPartVersionAssociation"
"";"PartViewToIndividualPartViewAssociation"
"E1";"Effectivity"
"";"DataValidityPeriod"
"";"DatedEffectivity"
"";"Effectivity"
"";"EffectivityAssignment"
"";"EffectivityRelationship"
"";"LotEffectivity"
"";"SerialEffectivity"
"";"TimeIntervalEffectivity"
"C1";"Property"
"";"CentreOfMass"
"";"ExpandedUncertainty"
"";"ExternalPropertyDefinition"
"";"ExternalTypeQualifier"
"";"ExternalUnit"
"";"GeneralShapeDependentProperty"
