"";"ActivityAssignmentSelect";"ActivityMethodAssignmentSelect";"AngleSelect";"ApplicationDomainSelect";"ApprovalAssignmentSelect";"AssignedDocumentSelect";"BoundaryClassZoneSelect";"BreakdownAssignmentSelect";"BreakdownElementOrAlternativeSolutionSelect";"BreakdownElementOrPartOccurrenceSelect";"CertificationAssignmentSelect";"ClassSelect";"ComponentClassForAssemblySelect";"CompositeAssemblyShapeSelect";"ConfiguredItemSelect";"ConfiguredSpecificationSelect";"ContractAssignmentSelect";"CoreShapeSelect";"DateTimeAssignmentSelect";"DateTimePersonOrganizationElementSelect";"DeltaChangeManagementObjectSelect";"DeltaChangeRelationshipSelect";"DescriptorSelect";"DocumentAssignmentSelect";"EffectivityAssignmentSelect";"EventOrDateSelect";"ExplicitTransformationSelect";"ExternalSourceSelect";"FinalDefinitionSelect";"GeneralOrganizationalDataSelect";"GeometricBoundingCurveSelect";"GeometricModelOrExternalRepresentationSelect";"IdentificationContextSelect";"IdentifierSelect";"InZoneSelect";"IndividualAssemblyRelationshipRealizationContextSelect";"InformationUsageRightAssignmentSelect";"LifeCycleStageSelect";"MeasureActivitySelect";"ModelPropertyValueSelect";"MultiLingualStringSelect";"OrientedSurfaceSelect";"PartInformationSelect";"PartOccurrenceDefinitionSelect";"PartOccurrenceUsageContextSelect";"PartVersionOrProductConfgurationSelect";"PartViewOrProductConfgurationSelect";"PeriodOrDateSelect";"PersonOrOrganizationSelect";"PhysicalElementSelect";"PlyLaminateShapeSelect";"PointSelect";"ProcessOperationInputOrOutputSelect";"ProcessOperationResourceAssignmentSelect";"ProjectAssignmentSelect";"PropertyAssignmentSelect";"PropertyDefinitionSelect";"PropertyValueSelect";"ProxyItemSelect";"ProxySelect";"RequirementAssignmentSelect";"RequirementSourceSelect";"RequirementVersionOrViewSelect";"SecurityClassificationSelect";"ShapeInformationSelect";"ShapedElementSelect";"SingleIdentifierSelect";"SpecificationOperandSelect";"SuppliedObjectSelect";"ThicknessLaminateTableComponentSelect";"TransformationSelect";"TypeQualifierSelect";"UnitSelect";"ValidityContextSelect";"ValueQualifierSelect"
"Activity";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"[x, ActivityAssignmentSelect]";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";""
"ActivityAssignment";"";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";""
"ActivityAssignmentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethod";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, ActivityAssignmentSelect]";"";"";"x";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";""
"ActivityMethodAssignment";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethodAssignmentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethodRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityMethodWorkRequestAssociation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActivityRelationship";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, ActivityAssignmentSelect]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AddElement";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
