Approval_assigned_item,Approval_item
Change_request,Versioned_action_request
Change_order,Action_directive
Characterized_product_category,Characterized_class
Classification_assigned_item,Classification_item
Dimensional_location_with_direction,Dimensional_location 
Document_assigned_item,Document_reference_item
External_definition,Applied_external_identification_assignment
Model_parameter_relationship,General_property_relationship
Organization_assigned_item,Organization_item
Physical_unit_datum_target,Datum_target
Security_classification_assigned_item,Security_classification_item

