"Status","URL","Appears on","Link Text"
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/inserts/part3001tspart3001ts_wg12n8520bom.exp","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/index.htm",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/inserts/part3001tspart3001ts_wg12n8519bom.xsd","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/index.htm",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/application_protocols/managed_model_based_3d_engineering/home.htm","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/business_object_models/managed_model_based_3d_engineering/sys/frame_title.htm",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/modules/ap242_managed_model_based_3d_engineering/sys/cover.htm","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/business_object_models/managed_model_based_3d_engineering/sys/frame_title.htm",""
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","161 occurrences over more than one page",""
"404 not found","http://standards.iso.org/iso/10303/smrl/v5/tech/implementation_information/-442","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_242/data/application_protocols/managed_model_based_3d_engineering/sys/annex_tech_disc.htm",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/resources/managed_model_based_3d_engineering_bom/managed_model_based_3d_engineering_bom.htm","145 occurrences over more than one page",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/resources/geometry_schema/geometry_schema.htm","13 occurrences over more than one page",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/resources/aic_advanced_brep/aic_advanced_brep.htm","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/business_object_models/managed_model_based_3d_engineering/sys/4_info_reqs.htm",""
"The requested URL was not found on this server.","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/resources/aic_csg/aic_csg.htm","file:///Users/klt/Projets/CRandCD/SMRLv6_with_CR11-APs/AP242e2_CD_20151110_linckcheck/iso10303_3001/data/business_object_models/managed_model_based_3d_engineering/sys/4_info_reqs.htm",""
